Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,
PP Shaw,2019-2024,10,10,0,261,72,26.10,177,147.45,0,2,1,30,11,
(Delhi Capitals),,,,,,,,,,,,,,,
RA Tripathi,2017-2022,9,9,0,260,76,28.88,179,145.25,0,2,1,23,11,
"(Kolkata Knight Riders, Rajasthan Royals, Rising Pune Supergiant, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
E Lewis,2018-2022,9,9,0,241,65,26.77,173,139.30,0,2,1,22,16,
"(Lucknow Super Giants, Mumbai Indians)",,,,,,,,,,,,,,,
MA Agarwal,2011-2024,12,11,0,240,83,21.81,176,136.36,0,2,2,27,8,
"(Delhi Daredevils, Punjab Kings, Royal Challengers Bangalore, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
C Green,2023-2023,7,7,4,229,100*,76.33,133,172.18,1,1,0,19,13,
(Mumbai Indians),,,,,,,,,,,,,,,
YBK Jaiswal,2021-2024,5,5,0,228,124,45.60,132,172.72,1,1,0,32,10,
(Rajasthan Royals),,,,,,,,,,,,,,,
BB McCullum,2011-2017,7,7,0,222,81,31.71,160,138.75,0,2,0,23,9,
"(Chennai Super Kings, Gujarat Lions, Kochi Tuskers Kerala, Kolkata Knight Riders)",,,,,,,,,,,,,,,
ST Jayasuriya,2008-2008,4,4,2,211,114*,105.50,93,226.88,1,0,0,21,17,
(Mumbai Indians),,,,,,,,,,,,,,,
MM Ali,2019-2022,7,7,0,204,50,29.14,138,147.82,0,1,1,15,14,
"(Chennai Super Kings, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
VR Iyer,2022-2025,6,6,0,202,104,33.66,147,137.41,1,1,0,14,12,
(Kolkata Knight Riders),,,,,,,,,,,,,,,
DJ Bravo,2008-2022,19,10,2,199,68,24.87,139,143.16,0,1,0,14,13,
"(Chennai Super Kings, Gujarat Lions, Mumbai Indians)",,,,,,,,,,,,,,,
AD Russell,2015-2025,13,11,2,199,70*,22.11,118,168.64,0,2,2,13,17,
(Kolkata Knight Riders),,,,,,,,,,,,,,,
SS Iyer,2015-2024,9,9,2,196,42,28.00,162,120.98,0,0,0,23,3,
"(Delhi Capitals, Delhi Daredevils, Kolkata Knight Riders)",,,,,,,,,,,,,,,
V Sehwag,2008-2015,6,6,0,196,122,32.66,123,159.34,1,0,0,20,10,
"(Delhi Daredevils, Kings XI Punjab)",,,,,,,,,,,,,,,
RD Rickelton,2025-2025,5,5,1,192,62*,48.00,125,153.60,0,2,0,22,10,
(Mumbai Indians),,,,,,,,,,,,,,,
R Tewatia,2017-2023,13,10,3,191,40*,27.28,132,144.69,0,0,0,16,9,
"(Delhi Capitals, Delhi Daredevils, Gujarat Titans, Kings XI Punjab, Rajasthan Royals)",,,,,,,,,,,,,,,
N Pooran,2021-2025,9,9,0,176,75,19.55,106,166.03,0,1,2,11,15,
"(Lucknow Super Giants, Punjab Kings, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
JEC Franklin,2011-2012,10,9,2,174,79,24.85,169,102.95,0,1,0,12,4,
(Mumbai Indians),,,,,,,,,,,,,,,
G Gambhir,2008-2018,8,8,0,173,59,21.62,151,114.56,0,1,1,21,2,
"(Delhi Daredevils, Kolkata Knight Riders)",,,,,,,,,,,,,,,
Abhishek Sharma,2019-2025,7,7,0,170,65,24.28,134,126.86,0,1,1,19,6,
(Sunrisers Hyderabad),,,,,,,,,,,,,,,
MK Tiwary,2008-2018,7,7,1,170,58,28.33,146,116.43,0,1,1,16,5,
"(Delhi Daredevils, Kings XI Punjab, Kolkata Knight Riders, Rising Pune Supergiant)",,,,,,,,,,,,,,,
SO Hetmyer,2021-2024,8,7,6,168,59*,168.00,106,158.49,0,1,0,9,13,
"(Delhi Capitals, Rajasthan Royals)",,,,,,,,,,,,,,,
CJ Anderson,2014-2018,8,8,2,163,95*,27.16,101,161.38,0,1,2,14,11,
"(Delhi Daredevils, Mumbai Indians, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
RM Patidar,2022-2025,4,3,0,162,64,54.00,96,168.75,0,2,0,12,10,
"(Royal Challengers Bangalore, Royal Challengers Bengaluru)",,,,,,,,,,,,,,,
Yuvraj Singh,2008-2019,10,10,0,161,57,16.10,137,117.51,0,2,1,15,7,
"(Delhi Daredevils, Kings XI Punjab, Mumbai Indians, Pune Warriors, Royal Challengers Bangalore, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
S Badrinath,2008-2013,6,5,2,159,71*,53.00,117,135.89,0,2,1,19,4,
(Chennai Super Kings),,,,,,,,,,,,,,,
MEK Hussey,2011-2015,6,6,0,157,56,26.16,118,133.05,0,1,1,16,6,
"(Chennai Super Kings, Mumbai Indians)",,,,,,,,,,,,,,,
R Powell,2022-2022,5,5,1,147,43,36.75,87,168.96,0,0,1,5,14,
(Delhi Capitals),,,,,,,,,,,,,,,
KM Jadhav,2011-2023,8,7,3,146,58,36.50,130,112.30,0,1,0,13,4,
"(Chennai Super Kings, Delhi Daredevils, Kochi Tuskers Kerala, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
AR Patel,2014-2024,12,9,5,137,42*,34.25,92,148.91,0,0,0,6,8,
"(Delhi Capitals, Kings XI Punjab)",,,,,,,,,,,,,,,
Rashid Khan,2017-2023,10,6,4,137,79*,68.50,62,220.96,0,1,0,4,16,
"(Gujarat Titans, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
MR Marsh,2013-2025,7,6,0,136,38,22.66,102,133.33,0,0,1,10,7,
"(Delhi Capitals, Lucknow Super Giants, Pune Warriors, Rising Pune Supergiants)",,,,,,,,,,,,,,,
R Parag,2021-2024,11,8,2,136,54*,22.66,95,143.15,0,1,0,11,9,
(Rajasthan Royals),,,,,,,,,,,,,,,
A Badoni,2022-2025,6,5,1,130,54,32.50,91,142.85,0,1,0,7,8,
(Lucknow Super Giants),,,,,,,,,,,,,,,
AJ Finch,2013-2022,6,6,1,128,67*,25.60,118,108.47,0,1,1,11,2,
"(Gujarat Lions, Kings XI Punjab, Kolkata Knight Riders, Mumbai Indians, Pune Warriors)",,,,,,,,,,,,,,,
TM Head,2016-2025,4,4,0,125,48,31.25,98,127.55,0,0,0,13,3,
"(Royal Challengers Bangalore, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
MP Stoinis,2018-2024,9,9,3,125,38*,20.83,89,140.44,0,0,3,14,6,
"(Delhi Capitals, Kings XI Punjab, Lucknow Super Giants, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
PJ Cummins,2017-2025,5,5,4,123,66*,123.00,66,186.36,0,1,0,6,10,
"(Delhi Daredevils, Kolkata Knight Riders, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
AK Markram,2022-2025,6,6,1,122,56,24.40,106,115.09,0,1,0,7,5,
"(Lucknow Super Giants, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
JM Sharma,2022-2025,5,4,2,122,40*,61.00,51,239.21,0,0,0,9,11,
"(Punjab Kings, Royal Challengers Bengaluru)",,,,,,,,,,,,,,,
LS Livingstone,2019-2025,7,7,1,120,49*,20.00,75,160.00,0,0,1,5,11,
"(Punjab Kings, Rajasthan Royals, Royal Challengers Bengaluru)",,,,,,,,,,,,,,,
JP Duminy,2011-2018,6,6,4,119,45*,59.50,93,127.95,0,0,0,7,7,
"(Deccan Chargers, Delhi Daredevils, Mumbai Indians)",,,,,,,,,,,,,,,
KS Williamson,2018-2022,7,7,1,116,47,19.33,94,123.40,0,0,1,16,2,
(Sunrisers Hyderabad),,,,,,,,,,,,,,,
SM Curran,2019-2023,7,5,1,115,55,28.75,57,201.75,0,1,0,12,7,
"(Chennai Super Kings, Kings XI Punjab, Punjab Kings)",,,,,,,,,,,,,,,
RK Singh,2019-2025,6,6,1,113,42*,22.60,85,132.94,0,0,0,14,2,
(Kolkata Knight Riders),,,,,,,,,,,,,,,
WG Jacks,2024-2025,6,5,0,111,36,22.20,88,126.13,0,0,0,10,5,
"(Mumbai Indians, Royal Challengers Bengaluru)",,,,,,,,,,,,,,,
AP Tare,2013-2017,8,8,3,111,59,22.20,68,163.23,0,1,1,14,3,
"(Delhi Daredevils, Mumbai Indians)",,,,,,,,,,,,,,,
Naman Dhir,2024-2025,9,7,2,109,62*,21.80,69,157.97,0,1,3,9,8,
(Mumbai Indians),,,,,,,,,,,,,,,
LA Pomersbach,2008-2011,2,2,1,108,79*,108.00,68,158.82,0,1,0,12,5,
"(Kings XI Punjab, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
JJ Roy,2017-2018,2,2,2,105,91*,-,60,175.00,0,1,0,7,7,
"(Delhi Daredevils, Gujarat Lions)",,,,,,,,,,,,,,,
Shakib Al Hasan,2011-2018,7,7,0,105,26,15.00,76,138.15,0,0,0,13,1,
"(Kolkata Knight Riders, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
M Vijay,2011-2015,6,6,0,103,41,17.16,88,117.04,0,0,0,12,4,
"(Chennai Super Kings, Delhi Daredevils, Kings XI Punjab)",,,,,,,,,,,,,,,
CH Morris,2013-2021,7,6,3,101,52*,33.66,76,132.89,0,1,1,5,6,
"(Chennai Super Kings, Delhi Daredevils, Rajasthan Royals)",,,,,,,,,,,,,,,
SPD Smith,2012-2021,7,6,0,101,39,16.83,93,108.60,0,0,0,9,0,
"(Delhi Capitals, Pune Warriors, Rajasthan Royals, Rising Pune Supergiant, Rising Pune Supergiants)",,,,,,,,,,,,,,,
R Ashwin,2011-2025,22,11,3,100,28,12.50,87,114.94,0,0,2,5,3,
"(Chennai Super Kings, Delhi Capitals, Kings XI Punjab, Rajasthan Royals, Rising Pune Supergiants)",,,,,,,,,,,,,,,
CA Lynn,2016-2019,4,4,1,100,41,33.33,76,131.57,0,0,0,9,5,
(Kolkata Knight Riders),,,,,,,,,,,,,,,
PBB Rajapaksa,2022-2022,3,3,0,100,42,33.33,59,169.49,0,0,0,7,7,
(Punjab Kings),,,,,,,,,,,,,,,
Lalit Yadav,2021-2024,7,7,1,98,37,16.33,95,103.15,0,0,0,9,3,
(Delhi Capitals),,,,,,,,,,,,,,,
AC Blizzard,2011-2011,3,3,0,89,51,29.66,60,148.33,0,1,0,15,2,
(Mumbai Indians),,,,,,,,,,,,,,,
Shahbaz Ahmed,2021-2024,6,3,1,87,45,43.50,59,147.45,0,0,0,7,4,
"(Royal Challengers Bangalore, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
M Shahrukh Khan,2021-2023,6,6,3,87,47,29.00,60,145.00,0,0,1,9,4,
(Punjab Kings),,,,,,,,,,,,,,,
JM Bairstow,2022-2022,3,3,0,85,56,28.33,58,146.55,0,1,0,14,1,
(Punjab Kings),,,,,,,,,,,,,,,
DPMD Jayawardene,2008-2013,5,5,1,85,56,21.25,74,114.86,0,1,0,11,0,
"(Delhi Daredevils, Kings XI Punjab, Kochi Tuskers Kerala)",,,,,,,,,,,,,,,
R Dravid,2008-2013,4,4,1,82,43*,27.33,75,109.33,0,0,0,11,0,
"(Rajasthan Royals, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
SN Thakur,2017-2024,17,9,3,81,17,13.50,59,137.28,0,0,0,5,4,
"(Chennai Super Kings, Delhi Capitals, Kolkata Knight Riders, Rising Pune Supergiant)",,,,,,,,,,,,,,,
KK Nair,2014-2022,6,5,0,80,50,16.00,67,119.40,0,1,0,9,2,
"(Delhi Daredevils, Kings XI Punjab, Rajasthan Royals)",,,,,,,,,,,,,,,
N Wadhera,2023-2024,7,6,1,80,52*,16.00,60,133.33,0,1,1,7,4,
(Mumbai Indians),,,,,,,,,,,,,,,
BJ Hodge,2011-2014,3,3,2,79,39,79.00,50,158.00,0,0,0,11,1,
"(Kochi Tuskers Kerala, Rajasthan Royals)",,,,,,,,,,,,,,,
K Rabada,2017-2022,8,3,1,78,44,39.00,59,132.20,0,0,0,9,2,
"(Delhi Capitals, Delhi Daredevils, Punjab Kings)",,,,,,,,,,,,,,,
T Stubbs,2022-2024,4,4,1,78,71*,26.00,39,200.00,0,1,1,3,7,
"(Delhi Capitals, Mumbai Indians)",,,,,,,,,,,,,,,
GJ Bailey,2014-2015,3,3,1,77,61*,38.50,48,160.41,0,1,0,6,3,
(Kings XI Punjab),,,,,,,,,,,,,,,
M Vohra,2013-2021,7,6,0,77,34,12.83,72,106.94,0,0,0,6,4,
"(Kings XI Punjab, Rajasthan Royals)",,,,,,,,,,,,,,,
OA Shah,2012-2012,1,1,0,76,76,76.00,42,180.95,0,1,0,5,5,
(Rajasthan Royals),,,,,,,,,,,,,,,
KP Pietersen,2012-2016,3,3,1,74,44,37.00,53,139.62,0,0,0,7,3,
"(Delhi Daredevils, Rising Pune Supergiants)",,,,,,,,,,,,,,,
Shubman Gill,2018-2023,9,9,0,74,22,8.22,98,75.51,0,0,2,6,1,
"(Gujarat Titans, Kolkata Knight Riders)",,,,,,,,,,,,,,,
Mandeep Singh,2012-2019,6,5,1,73,24,18.25,59,123.72,0,0,0,10,0,
"(Kings XI Punjab, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
CM Gautam,2014-2014,3,3,0,72,33,24.00,65,110.76,0,0,0,6,5,
(Mumbai Indians),,,,,,,,,,,,,,,
RN ten Doeschate,2011-2011,1,1,1,70,70*,-,49,142.85,0,1,0,6,3,
(Kolkata Knight Riders),,,,,,,,,,,,,,,
Vivrant Sharma,2023-2023,1,1,0,69,69,69.00,47,146.80,0,1,0,9,2,
(Sunrisers Hyderabad),,,,,,,,,,,,,,,
AM Nayar,2008-2014,7,4,0,67,27,16.75,48,139.58,0,0,0,4,3,
"(Kings XI Punjab, Mumbai Indians, Pune Warriors, Rajasthan Royals)",,,,,,,,,,,,,,,
R Shepherd,2022-2024,5,4,3,67,39*,67.00,28,239.28,0,0,0,5,6,
"(Mumbai Indians, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
MS Wade,2022-2022,3,3,0,66,30,22.00,57,115.78,0,0,0,8,1,
(Gujarat Titans),,,,,,,,,,,,,,,
TM Dilshan,2008-2013,3,3,0,65,33,21.66,65,100.00,0,0,0,10,1,
"(Delhi Daredevils, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
CR Brathwaite,2018-2018,2,2,1,64,43*,64.00,40,160.00,0,0,0,1,7,
(Sunrisers Hyderabad),,,,,,,,,,,,,,,
D Brevis,2022-2024,4,4,0,63,37,15.75,59,106.77,0,0,1,2,5,
(Mumbai Indians),,,,,,,,,,,,,,,
A Symonds,2011-2011,7,5,4,63,31*,63.00,70,90.00,0,0,0,3,2,
(Mumbai Indians),,,,,,,,,,,,,,,
DJ Hussey,2008-2014,5,5,0,59,34,11.80,52,113.46,0,0,0,7,1,
"(Chennai Super Kings, Kings XI Punjab, Kolkata Knight Riders)",,,,,,,,,,,,,,,
JR Hopes,2008-2011,3,3,0,57,55,19.00,50,114.00,0,1,1,10,0,
"(Delhi Daredevils, Kings XI Punjab)",,,,,,,,,,,,,,,
H Klaasen,2023-2025,3,3,0,57,37,19.00,45,126.66,0,0,0,5,2,
(Sunrisers Hyderabad),,,,,,,,,,,,,,,
GH Vihari,2013-2015,2,2,0,57,41,28.50,47,121.27,0,0,0,7,0,
(Sunrisers Hyderabad),,,,,,,,,,,,,,,
JH Kallis,2008-2013,4,4,0,56,25,14.00,58,96.55,0,0,1,3,2,
"(Kolkata Knight Riders, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
TL Suman,2011-2013,7,6,1,54,23,10.80,51,105.88,0,0,0,6,3,
"(Mumbai Indians, Pune Warriors)",,,,,,,,,,,,,,,
Washington Sundar,2017-2022,8,6,1,53,25,10.60,51,103.92,0,0,0,5,1,
"(Rising Pune Supergiant, Royal Challengers Bangalore, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
MJ Guptill,2017-2019,2,2,0,51,36,25.50,29,175.86,0,0,0,6,2,
"(Kings XI Punjab, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
Ramandeep Singh,2022-2025,5,4,2,51,22,25.50,28,182.14,0,0,0,4,3,
"(Kolkata Knight Riders, Mumbai Indians)",,,,,,,,,,,,,,,
J Suchith,2015-2022,10,7,4,50,34*,16.66,39,128.20,0,0,1,4,2,
"(Mumbai Indians, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
SW Billings,2022-2022,2,2,1,49,25,49.00,45,108.88,0,0,0,2,2,
(Kolkata Knight Riders),,,,,,,,,,,,,,,
MC Juneja,2013-2013,1,1,0,49,49,49.00,40,122.50,0,0,0,6,0,
(Delhi Daredevils),,,,,,,,,,,,,,,
MJ McClenaghan,2015-2019,26,11,7,49,12*,12.25,36,136.11,0,0,2,3,4,
(Mumbai Indians),,,,,,,,,,,,,,,
