Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,
"(Deccan Chargers, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
KH Pandya,2016-2024,7,6,1,148,49*,29.60,117,126.49,0,0,0,8,7,
"(Lucknow Super Giants, Mumbai Indians)",,,,,,,,,,,,,,,
KA Pollard,2011-2019,9,8,4,147,46*,36.75,113,130.08,0,0,1,9,10,
(Mumbai Indians),,,,,,,,,,,,,,,
SE Marsh,2008-2016,4,3,1,146,84*,73.00,116,125.86,0,1,0,17,3,
(Kings XI Punjab),,,,,,,,,,,,,,,
Abdul Samad,2023-2025,12,7,4,142,37*,47.33,109,130.27,0,0,0,9,9,
"(Lucknow Super Giants, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
CH Gayle,2012-2019,7,7,0,136,35,19.42,88,154.54,0,0,0,12,10,
"(Kings XI Punjab, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
MS Dhoni,2008-2024,9,9,2,135,37,19.28,104,129.80,0,0,0,13,4,
"(Chennai Super Kings, Rising Pune Supergiant, Rising Pune Supergiants)",,,,,,,,,,,,,,,
WP Saha,2008-2019,11,9,1,133,54,16.62,95,140.00,0,1,1,16,4,
"(Kings XI Punjab, Kolkata Knight Riders, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
Mandeep Singh,2012-2018,5,5,1,131,75,32.75,101,129.70,0,1,0,15,3,
"(Kings XI Punjab, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
SPD Smith,2016-2019,4,3,1,131,51,65.50,125,104.80,0,1,0,9,2,
"(Rajasthan Royals, Rising Pune Supergiant, Rising Pune Supergiants)",,,,,,,,,,,,,,,
DT Christian,2011-2018,10,10,3,130,30,18.57,101,128.71,0,0,1,8,5,
"(Deccan Chargers, Delhi Daredevils, Rising Pune Supergiant)",,,,,,,,,,,,,,,
Prabhsimran Singh,2019-2025,4,4,0,129,71,32.25,86,150.00,0,1,1,15,6,
"(Kings XI Punjab, Punjab Kings)",,,,,,,,,,,,,,,
Q de Kock,2013-2024,6,6,0,123,44,20.50,94,130.85,0,0,1,9,8,
"(Delhi Daredevils, Lucknow Super Giants, Mumbai Indians, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
R Dravid,2008-2013,4,4,0,123,39,30.75,116,106.03,0,0,0,12,2,
