Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,
"(Delhi Daredevils, Kolkata Knight Riders, Pune Warriors)",,,,,,,,,,,,,,,
Prabhsimran Singh,2023-2023,1,1,0,103,103,103.00,65,158.46,1,0,0,10,6,
(Punjab Kings),,,,,,,,,,,,,,,
JR Hopes,2008-2011,6,4,1,100,54,33.33,93,107.52,0,1,0,8,2,
"(Delhi Daredevils, Kings XI Punjab)",,,,,,,,,,,,,,,
Mandeep Singh,2010-2023,7,6,0,100,30,16.66,83,120.48,0,0,1,11,3,
"(Kings XI Punjab, Kolkata Knight Riders, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
YBK Jaiswal,2021-2025,4,4,0,99,51,24.75,72,137.50,0,1,0,8,6,
(Rajasthan Royals),,,,,,,,,,,,,,,
WP Saha,2010-2024,7,7,1,99,39,16.50,82,120.73,0,0,0,11,2,
"(Gujarat Titans, Kings XI Punjab, Kolkata Knight Riders)",,,,,,,,,,,,,,,
UBT Chand,2011-2015,5,5,0,96,41,19.20,77,124.67,0,0,1,10,3,
"(Delhi Daredevils, Mumbai Indians)",,,,,,,,,,,,,,,
AJ Finch,2011-2018,7,7,0,94,50,13.42,80,117.50,0,1,1,12,2,
"(Delhi Daredevils, Gujarat Lions, Kings XI Punjab, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
GJ Maxwell,2014-2023,10,10,0,94,27,9.40,83,113.25,0,0,3,7,4,
"(Delhi Daredevils, Kings XI Punjab, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
ML Hayden,2010-2010,1,1,0,93,93,93.00,43,216.27,0,1,0,9,7,
(Chennai Super Kings),,,,,,,,,,,,,,,
MC Henriques,2013-2017,5,4,1,93,31,31.00,67,138.80,0,0,0,8,2,
"(Royal Challengers Bangalore, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
TM Head,2017-2024,2,2,0,91,89,45.50,34,267.64,0,1,0,11,6,
