Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,
"(Chennai Super Kings, Delhi Daredevils, Kings XI Punjab)",,,,,,,,,,,,,,,
OA Shah,2012-2012,1,1,0,60,60,60.00,26,230.76,0,1,0,5,5,
(Rajasthan Royals),,,,,,,,,,,,,,,
Sachin Baby,2016-2016,7,4,2,59,25*,29.50,34,173.52,0,0,1,5,4,
(Royal Challengers Bangalore),,,,,,,,,,,,,,,
UBT Chand,2015-2015,1,1,0,58,58,58.00,37,156.75,0,1,0,8,2,
(Mumbai Indians),,,,,,,,,,,,,,,
Misbah-ul-Haq,2008-2008,4,4,1,58,47*,19.33,38,152.63,0,0,1,3,4,
(Royal Challengers Bangalore),,,,,,,,,,,,,,,
Washington Sundar,2018-2019,7,5,2,58,35,19.33,31,187.09,0,0,1,4,4,
(Royal Challengers Bangalore),,,,,,,,,,,,,,,
DJ Hussey,2008-2014,3,2,0,57,45,28.50,41,139.02,0,0,0,3,4,
"(Chennai Super Kings, Kings XI Punjab, Kolkata Knight Riders)",,,,,,,,,,,,,,,
AB McDonald,2010-2013,4,4,1,57,30,19.00,43,132.55,0,0,1,6,3,
"(Delhi Daredevils, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
B Sai Sudharsan,2024-2025,2,2,0,55,49,27.50,50,110.00,0,0,0,7,1,
(Gujarat Titans),,,,,,,,,,,,,,,
ST Jayasuriya,2008-2008,1,1,0,54,54,54.00,37,145.94,0,1,0,4,4,
(Mumbai Indians),,,,,,,,,,,,,,,
NLTC Perera,2013-2016,2,2,0,54,40,27.00,32,168.75,0,0,0,2,5,
"(Rising Pune Supergiants, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
KP Pietersen,2010-2014,2,2,0,54,33,27.00,45,120.00,0,0,0,3,2,
"(Delhi Daredevils, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
N Wadhera,2023-2025,2,2,1,54,33*,54.00,32,168.75,0,0,0,4,5,
"(Mumbai Indians, Punjab Kings)",,,,,,,,,,,,,,,
A Symonds,2010-2010,1,1,1,53,53*,-,24,220.83,0,1,0,5,3,
(Deccan Chargers),,,,,,,,,,,,,,,
R Tewatia,2014-2025,6,4,3,53,35,53.00,37,143.24,0,0,0,8,1,
"(Delhi Capitals, Delhi Daredevils, Gujarat Titans, Rajasthan Royals)",,,,,,,,,,,,,,,
VVS Laxman,2008-2008,1,1,0,52,52,52.00,44,118.18,0,1,0,7,0,
(Deccan Chargers),,,,,,,,,,,,,,,
CA Pujara,2010-2013,6,4,0,52,19,13.00,49,106.12,0,0,0,4,3,
"(Kolkata Knight Riders, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
BCJ Cutting,2016-2018,2,2,2,51,39*,-,21,242.85,0,0,0,4,5,
"(Mumbai Indians, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
N Saini,2012-2012,1,1,0,50,50,50.00,36,138.88,0,1,0,5,0,
(Kings XI Punjab),,,,,,,,,,,,,,,
AD Nath,2016-2019,5,4,0,49,24,12.25,45,108.88,0,0,0,5,1,
"(Gujarat Lions, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
SC Ganguly,2008-2012,3,3,0,49,33,16.33,52,94.23,0,0,0,4,2,
"(Kolkata Knight Riders, Pune Warriors)",,,,,,,,,,,,,,,
WG Jacks,2024-2024,3,3,0,49,41,16.33,36,136.11,0,0,0,4,2,
(Royal Challengers Bengaluru),,,,,,,,,,,,,,,
GC Smith,2008-2008,1,1,0,49,49,49.00,42,116.66,0,0,0,8,0,
(Rajasthan Royals),,,,,,,,,,,,,,,
RT Ponting,2008-2013,2,2,0,48,28,24.00,53,90.56,0,0,0,2,2,
"(Kolkata Knight Riders, Mumbai Indians)",,,,,,,,,,,,,,,
DJ Harris,2012-2012,1,1,0,47,47,47.00,41,114.63,0,0,0,2,4,
(Deccan Chargers),,,,,,,,,,,,,,,
ML Hayden,2008-2010,2,2,0,45,32,22.50,47,95.74,0,0,0,7,0,
(Chennai Super Kings),,,,,,,,,,,,,,,
Z Khan,2008-2017,25,10,6,45,17*,11.25,48,93.75,0,0,2,5,0,
"(Delhi Daredevils, Mumbai Indians, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
MA Starc,2014-2025,12,4,2,45,29,22.50,39,115.38,0,0,0,5,0,
"(Delhi Capitals, Kolkata Knight Riders, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
RA Tripathi,2017-2018,2,2,1,45,31,45.00,28,160.71,0,0,0,4,2,
"(Rajasthan Royals, Rising Pune Supergiant)",,,,,,,,,,,,,,,
JP Faulkner,2013-2017,3,2,1,44,41*,44.00,24,183.33,0,0,0,3,3,
"(Gujarat Lions, Rajasthan Royals)",,,,,,,,,,,,,,,
M Kaif,2008-2012,8,5,2,44,15,14.66,44,100.00,0,0,0,4,0,
"(Kings XI Punjab, Rajasthan Royals, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
EJG Morgan,2010-2016,7,5,1,44,22*,11.00,45,97.77,0,0,0,4,0,
"(Kolkata Knight Riders, Royal Challengers Bangalore, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
MC Henriques,2013-2016,6,5,3,42,19,21.00,41,102.43,0,0,0,6,0,
"(Royal Challengers Bangalore, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
JA Morkel,2008-2014,6,4,1,41,19,13.66,37,110.81,0,0,0,1,3,
"(Chennai Super Kings, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
T Stubbs,2024-2025,2,2,1,41,38*,41.00,27,151.85,0,0,0,4,1,
(Delhi Capitals),,,,,,,,,,,,,,,
MJ Guptill,2017-2019,2,2,0,39,30,19.50,33,118.18,0,0,0,3,2,
"(Kings XI Punjab, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
Prabhsimran Singh,2024-2025,2,2,0,38,25,19.00,26,146.15,0,0,0,4,2,
(Punjab Kings),,,,,,,,,,,,,,,
S Rana,2014-2014,3,3,2,38,18,38.00,36,105.55,0,0,0,3,1,
(Royal Challengers Bangalore),,,,,,,,,,,,,,,
Abdul Samad,2024-2024,1,1,1,37,37*,-,10,370.00,0,0,0,4,3,
(Sunrisers Hyderabad),,,,,,,,,,,,,,,
AD Hales,2018-2018,1,1,0,37,37,37.00,24,154.16,0,0,0,2,3,
(Sunrisers Hyderabad),,,,,,,,,,,,,,,
M Shahrukh Khan,2024-2025,2,1,0,37,37,37.00,24,154.16,0,0,0,5,1,
(Gujarat Titans),,,,,,,,,,,,,,,
Shahbaz Ahmed,2023-2024,7,4,1,36,20*,12.00,31,116.12,0,0,0,3,1,
"(Royal Challengers Bangalore, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
A Ashish Reddy,2012-2016,4,2,0,35,32,17.50,22,159.09,0,0,0,2,3,
"(Deccan Chargers, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
Abhishek Sharma,2024-2024,1,1,0,34,34,34.00,22,154.54,0,0,0,2,2,
(Sunrisers Hyderabad),,,,,,,,,,,,,,,
SW Billings,2017-2018,2,2,0,34,25,17.00,26,130.76,0,0,0,3,1,
"(Chennai Super Kings, Delhi Daredevils)",,,,,,,,,,,,,,,
MN Samuels,2012-2012,1,1,0,34,34,34.00,20,170.00,0,0,0,1,2,
(Pune Warriors),,,,,,,,,,,,,,,
S Aravind,2011-2017,19,5,3,33,14*,16.50,37,89.18,0,0,0,3,0,
(Royal Challengers Bangalore),,,,,,,,,,,,,,,
IR Jaggi,2017-2017,2,2,1,33,28,33.00,39,84.61,0,0,0,3,0,
(Kolkata Knight Riders),,,,,,,,,,,,,,,
KC Sangakkara,2010-2013,3,2,1,33,23,33.00,27,122.22,0,0,0,3,1,
