Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,
SN Khan,2018-2019,2,2,1,53,46*,53.00,37,143.24,0,0,0,7,1,
"(Kings XI Punjab, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
A Badoni,2023-2025,3,3,0,52,50,17.33,43,120.93,0,1,0,5,1,
(Lucknow Super Giants),,,,,,,,,,,,,,,
PP Chawla,2008-2024,7,5,2,52,24*,17.33,44,118.18,0,0,0,4,1,
"(Kings XI Punjab, Kolkata Knight Riders, Mumbai Indians)",,,,,,,,,,,,,,,
S Dube,2023-2023,1,1,0,52,52,52.00,33,157.57,0,1,0,2,4,
(Chennai Super Kings),,,,,,,,,,,,,,,
KR Mayers,2023-2023,1,1,0,51,51,51.00,42,121.42,0,1,0,4,3,
(Lucknow Super Giants),,,,,,,,,,,,,,,
EJG Morgan,2011-2013,2,1,0,51,51,51.00,38,134.21,0,1,0,3,3,
(Kolkata Knight Riders),,,,,,,,,,,,,,,
N Rana,2018-2025,5,4,2,51,35*,25.50,37,137.83,0,0,0,4,2,
"(Kolkata Knight Riders, Rajasthan Royals)",,,,,,,,,,,,,,,
CA Lynn,2018-2019,2,2,0,50,50,25.00,34,147.05,0,1,1,6,3,
(Kolkata Knight Riders),,,,,,,,,,,,,,,
DJM Short,2018-2018,2,2,0,50,44,25.00,46,108.69,0,0,0,6,1,
(Rajasthan Royals),,,,,,,,,,,,,,,
N Wadhera,2024-2024,1,1,0,49,49,49.00,24,204.16,0,0,0,3,4,
(Mumbai Indians),,,,,,,,,,,,,,,
Abdul Samad,2023-2025,2,2,2,47,30*,-,17,276.47,0,0,0,0,6,
"(Lucknow Super Giants, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
RD Gaikwad,2023-2023,1,1,0,47,47,47.00,29,162.06,0,0,0,5,1,
(Chennai Super Kings),,,,,,,,,,,,,,,
AD Hales,2018-2018,1,1,0,45,45,45.00,39,115.38,0,0,0,4,0,
(Sunrisers Hyderabad),,,,,,,,,,,,,,,
IK Pathan,2008-2012,4,3,2,45,24*,45.00,48,93.75,0,0,0,3,1,
"(Delhi Daredevils, Kings XI Punjab)",,,,,,,,,,,,,,,
LS Livingstone,2019-2025,2,1,0,44,44,44.00,26,169.23,0,0,0,4,3,
"(Rajasthan Royals, Royal Challengers Bengaluru)",,,,,,,,,,,,,,,
Mandeep Singh,2012-2019,4,4,1,44,34,14.66,39,112.82,0,0,0,5,0,
"(Kings XI Punjab, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
NK Patel,2008-2008,3,2,2,44,40*,-,31,141.93,0,0,0,3,1,
(Rajasthan Royals),,,,,,,,,,,,,,,
T Stubbs,2024-2024,1,1,1,44,44*,-,23,191.30,0,0,0,2,3,
(Delhi Capitals),,,,,,,,,,,,,,,
MM Ali,2018-2023,3,3,1,42,23,21.00,23,182.60,0,0,0,4,3,
"(Chennai Super Kings, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
SP Goswami,2012-2012,5,3,1,42,23,21.00,41,102.43,0,0,0,3,0,
(Rajasthan Royals),,,,,,,,,,,,,,,
Rashid Khan,2018-2025,5,3,2,42,24*,42.00,22,190.90,0,0,0,5,1,
"(Gujarat Titans, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
PP Shaw,2019-2019,1,1,0,42,42,42.00,39,107.69,0,0,0,4,1,
(Delhi Capitals),,,,,,,,,,,,,,,
AD Mathews,2012-2013,2,2,0,41,23,20.50,34,120.58,0,0,0,3,0,
(Pune Warriors),,,,,,,,,,,,,,,
ST Jayasuriya,2008-2010,2,2,0,39,38,19.50,39,100.00,0,0,0,4,0,
(Mumbai Indians),,,,,,,,,,,,,,,
MF Maharoof,2008-2008,1,1,0,39,39,39.00,16,243.75,0,0,0,2,4,
(Delhi Daredevils),,,,,,,,,,,,,,,
MA Agarwal,2012-2019,2,2,0,37,22,18.50,41,90.24,0,0,0,3,2,
"(Kings XI Punjab, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
R Ashwin,2011-2024,15,6,2,35,29,8.75,30,116.66,0,0,2,0,3,
"(Chennai Super Kings, Kings XI Punjab, Rajasthan Royals)",,,,,,,,,,,,,,,
AA Jhunjhunwala,2010-2012,4,2,0,35,22,17.50,44,79.54,0,0,0,1,1,
"(Deccan Chargers, Rajasthan Royals)",,,,,,,,,,,,,,,
AM Nayar,2008-2012,2,2,0,35,25,17.50,28,125.00,0,0,0,3,1,
"(Kings XI Punjab, Mumbai Indians)",,,,,,,,,,,,,,,
DJ Bravo,2011-2018,4,3,2,34,23*,34.00,27,125.92,0,0,0,4,0,
(Chennai Super Kings),,,,,,,,,,,,,,,
Anmolpreet Singh,2023-2023,1,1,0,33,33,33.00,25,132.00,0,0,0,4,1,
(Sunrisers Hyderabad),,,,,,,,,,,,,,,
Kamran Akmal,2008-2008,2,2,0,33,18,16.50,26,126.92,0,0,0,6,1,
(Rajasthan Royals),,,,,,,,,,,,,,,
RG Sharma,2008-2024,7,6,0,31,13,5.16,50,62.00,0,0,1,3,0,
"(Deccan Chargers, Mumbai Indians)",,,,,,,,,,,,,,,
R Tewatia,2018-2025,4,2,0,31,22,15.50,15,206.66,0,0,0,3,1,
"(Delhi Daredevils, Gujarat Titans)",,,,,,,,,,,,,,,
AP Dole,2010-2010,2,1,0,30,30,30.00,18,166.66,0,0,0,2,1,
(Rajasthan Royals),,,,,,,,,,,,,,,
B Lee,2008-2013,4,3,0,30,25,10.00,19,157.89,0,0,1,3,2,
"(Kings XI Punjab, Kolkata Knight Riders)",,,,,,,,,,,,,,,
Anuj Rawat,2023-2023,1,1,1,29,29*,-,11,263.63,0,0,0,3,2,
(Royal Challengers Bangalore),,,,,,,,,,,,,,,
DT Christian,2012-2012,1,1,1,29,29*,-,19,152.63,0,0,0,2,1,
(Deccan Chargers),,,,,,,,,,,,,,,
KM Jadhav,2011-2019,3,3,1,29,23*,14.50,36,80.55,0,0,0,2,0,
"(Chennai Super Kings, Delhi Daredevils, Kochi Tuskers Kerala)",,,,,,,,,,,,,,,
DJ Hooda,2019-2024,3,3,0,28,26,9.33,18,155.55,0,0,1,2,2,
"(Lucknow Super Giants, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
SW Billings,2018-2018,1,1,0,27,27,27.00,22,122.72,0,0,0,3,0,
(Chennai Super Kings),,,,,,,,,,,,,,,
V Shankar,2018-2024,4,3,0,27,16,9.00,23,117.39,0,0,0,3,0,
"(Delhi Daredevils, Gujarat Titans, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
R Vinay Kumar,2010-2013,4,2,1,27,22*,27.00,10,270.00,0,0,0,1,3,
"(Kochi Tuskers Kerala, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
K Goel,2008-2008,1,1,0,26,26,26.00,21,123.80,0,0,0,3,2,
(Kings XI Punjab),,,,,,,,,,,,,,,
P Kumar,2008-2013,3,3,0,25,15,8.33,14,178.57,0,0,1,2,2,
"(Kings XI Punjab, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
A Mishra,2008-2023,5,2,0,25,21,12.50,33,75.75,0,0,0,2,0,
"(Deccan Chargers, Delhi Capitals, Delhi Daredevils, Lucknow Super Giants, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
GD Phillips,2023-2023,1,1,0,25,25,25.00,7,357.14,0,0,0,1,3,
(Sunrisers Hyderabad),,,,,,,,,,,,,,,
JC Archer,2018-2025,14,7,3,24,13*,6.00,29,82.75,0,0,2,2,0,
(Rajasthan Royals),,,,,,,,,,,,,,,
KK Cooper,2012-2013,9,4,2,24,11*,12.00,16,150.00,0,0,1,3,1,
(Rajasthan Royals),,,,,,,,,,,,,,,
M Manhas,2011-2011,1,1,0,24,24,24.00,19,126.31,0,0,0,1,1,
(Pune Warriors),,,,,,,,,,,,,,,
AR Patel,2018-2024,3,2,1,24,15*,24.00,18,133.33,0,0,0,2,0,
"(Delhi Capitals, Kings XI Punjab)",,,,,,,,,,,,,,,
YV Takawale,2008-2008,1,1,1,24,24*,-,8,300.00,0,0,0,4,1,
(Mumbai Indians),,,,,,,,,,,,,,,
Azhar Mahmood,2013-2013,1,1,0,23,23,23.00,20,115.00,0,0,0,3,0,
(Kings XI Punjab),,,,,,,,,,,,,,,
DB Das,2008-2012,2,2,0,23,12,11.50,27,85.18,0,0,0,1,1,
(Kolkata Knight Riders),,,,,,,,,,,,,,,
CJ Ferguson,2012-2012,1,1,0,23,23,23.00,26,88.46,0,0,0,2,0,
(Pune Warriors),,,,,,,,,,,,,,,
Mohammad Nabi,2024-2024,1,1,0,23,23,23.00,17,135.29,0,0,0,2,1,
(Mumbai Indians),,,,,,,,,,,,,,,
SS Tiwary,2010-2013,4,2,1,23,15,23.00,17,135.29,0,0,0,3,0,
"(Mumbai Indians, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
MS Bisla,2010-2013,3,3,0,22,20,7.33,21,104.76,0,0,0,4,0,
"(Kings XI Punjab, Kolkata Knight Riders)",,,,,,,,,,,,,,,
MC Henriques,2013-2013,1,1,0,22,22,22.00,19,115.78,0,0,0,2,1,
(Royal Challengers Bangalore),,,,,,,,,,,,,,,
MK Lomror,2018-2023,3,3,1,21,11,10.50,23,91.30,0,0,0,1,0,
"(Rajasthan Royals, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
AB Agarkar,2008-2013,2,1,0,20,20,20.00,13,153.84,0,0,0,1,2,
