Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,
(Chennai Super Kings),,,,,,,,,,,,,,,
LMP Simmons,2014-2014,1,1,0,62,62,62.00,51,121.56,0,1,0,6,2,
(Mumbai Indians),,,,,,,,,,,,,,,
D Padikkal,2021-2023,5,5,0,61,26,12.20,67,91.04,0,0,0,5,3,
"(Rajasthan Royals, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
N Rana,2021-2025,4,4,0,61,45,15.25,45,135.55,0,0,1,5,4,
"(Kolkata Knight Riders, Rajasthan Royals)",,,,,,,,,,,,,,,
Prabhsimran Singh,2021-2025,4,4,0,59,35,14.75,55,107.27,0,0,0,7,2,
(Punjab Kings),,,,,,,,,,,,,,,
STR Binny,2014-2015,8,6,1,57,20,11.40,64,89.06,0,0,1,3,2,
(Rajasthan Royals),,,,,,,,,,,,,,,
AD Russell,2014-2024,5,4,1,57,45*,19.00,41,139.02,0,0,0,4,4,
(Kolkata Knight Riders),,,,,,,,,,,,,,,
AC Voges,2010-2010,3,2,1,57,37*,57.00,41,139.02,0,0,0,3,2,
(Rajasthan Royals),,,,,,,,,,,,,,,
FY Fazal,2010-2010,3,3,1,56,31,28.00,52,107.69,0,0,0,8,0,
(Rajasthan Royals),,,,,,,,,,,,,,,
MEK Hussey,2014-2014,1,1,0,56,56,56.00,39,143.58,0,1,0,3,2,
(Mumbai Indians),,,,,,,,,,,,,,,
MP Stoinis,2021-2025,5,4,1,52,22,17.33,44,118.18,0,0,0,5,2,
"(Delhi Capitals, Lucknow Super Giants, Punjab Kings)",,,,,,,,,,,,,,,
Aman Hakim Khan,2023-2023,1,1,0,51,51,51.00,44,115.90,0,1,0,3,3,
(Delhi Capitals),,,,,,,,,,,,,,,
DJ Hooda,2015-2023,8,7,0,51,19,7.28,41,124.39,0,0,0,1,4,
"(Lucknow Super Giants, Punjab Kings, Rajasthan Royals)",,,,,,,,,,,,,,,
CJ Anderson,2015-2015,1,1,0,50,50,50.00,38,131.57,0,1,0,5,3,
(Mumbai Indians),,,,,,,,,,,,,,,
GJ Maxwell,2015-2025,7,6,0,50,25,8.33,42,119.04,0,0,3,2,4,
"(Kings XI Punjab, Punjab Kings, Royal Challengers Bangalore, Royal Challengers Bengaluru)",,,,,,,,,,,,,,,
Abdul Samad,2023-2024,3,3,0,49,29,16.33,29,168.96,0,0,0,4,3,
(Sunrisers Hyderabad),,,,,,,,,,,,,,,
DP Conway,2023-2023,2,2,0,48,47,24.00,31,154.83,0,0,0,4,2,
(Chennai Super Kings),,,,,,,,,,,,,,,
KR Mayers,2023-2023,1,1,0,48,48,48.00,32,150.00,0,0,0,7,2,
(Lucknow Super Giants),,,,,,,,,,,,,,,
RK Singh,2023-2024,2,1,1,48,48*,-,21,228.57,0,0,0,1,6,
(Kolkata Knight Riders),,,,,,,,,,,,,,,
P Arya,2025-2025,1,1,0,47,47,47.00,23,204.34,0,0,0,7,2,
(Punjab Kings),,,,,,,,,,,,,,,
EJG Morgan,2021-2021,2,2,1,47,47*,47.00,42,111.90,0,0,1,4,2,
(Kolkata Knight Riders),,,,,,,,,,,,,,,
D Brevis,2024-2024,1,1,0,46,46,46.00,38,121.05,0,0,0,2,3,
(Mumbai Indians),,,,,,,,,,,,,,,
N Wadhera,2023-2023,2,2,0,44,40,22.00,24,183.33,0,0,0,4,3,
(Mumbai Indians),,,,,,,,,,,,,,,
PJ Cummins,2021-2024,4,3,2,43,30,43.00,39,110.25,0,0,0,3,2,
"(Kolkata Knight Riders, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
Shahbaz Ahmed,2021-2024,4,4,1,42,22,14.00,40,105.00,0,0,1,3,2,
"(Royal Challengers Bangalore, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
MK Lomror,2022-2024,2,2,0,40,32,20.00,27,148.14,0,0,0,2,2,
"(Royal Challengers Bangalore, Royal Challengers Bengaluru)",,,,,,,,,,,,,,,
DR Smith,2015-2015,1,1,0,40,40,40.00,29,137.93,0,0,0,3,2,
(Chennai Super Kings),,,,,,,,,,,,,,,
Naman Dhir,2024-2025,2,2,1,38,20,38.00,21,180.95,0,0,0,6,1,
(Mumbai Indians),,,,,,,,,,,,,,,
Rahmanullah Gurbaz,2023-2024,2,2,0,38,23,19.00,26,146.15,0,0,0,3,3,
(Kolkata Knight Riders),,,,,,,,,,,,,,,
Abhishek Sharma,2023-2024,3,3,0,37,29,12.33,29,127.58,0,0,0,3,2,
(Sunrisers Hyderabad),,,,,,,,,,,,,,,
KK Cooper,2014-2014,2,2,0,37,32,18.50,24,154.16,0,0,0,2,3,
(Rajasthan Royals),,,,,,,,,,,,,,,
P Dogra,2010-2010,4,3,0,34,29,11.33,30,113.33,0,0,1,2,2,
(Rajasthan Royals),,,,,,,,,,,,,,,
RA Jadeja,2015-2024,4,3,1,34,18,17.00,18,188.88,0,0,0,3,2,
(Chennai Super Kings),,,,,,,,,,,,,,,
CJ Jordan,2021-2023,4,3,0,34,30,11.33,26,130.76,0,0,0,1,3,
"(Mumbai Indians, Punjab Kings)",,,,,,,,,,,,,,,
Abishek Porel,2024-2025,2,2,0,33,18,16.50,16,206.25,0,0,0,5,2,
(Delhi Capitals),,,,,,,,,,,,,,,
Azmatullah Omarzai,2024-2025,5,2,0,33,17,16.50,26,126.92,0,0,0,3,2,
"(Gujarat Titans, Punjab Kings)",,,,,,,,,,,,,,,
SC Ganguly,2010-2010,1,1,0,33,33,33.00,29,113.79,0,0,0,3,0,
(Kolkata Knight Riders),,,,,,,,,,,,,,,
HV Patel,2015-2024,5,2,0,32,31,16.00,15,213.33,0,0,0,3,2,
"(Punjab Kings, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
DC Jurel,2023-2025,3,3,0,31,18,10.33,22,140.90,0,0,0,4,1,
(Rajasthan Royals),,,,,,,,,,,,,,,
AT Rayudu,2014-2023,3,2,0,31,19,15.50,20,155.00,0,0,0,1,3,
"(Chennai Super Kings, Mumbai Indians)",,,,,,,,,,,,,,,
T Stubbs,2024-2025,2,1,0,31,31,31.00,21,147.61,0,0,0,2,1,
(Delhi Capitals),,,,,,,,,,,,,,,
Harpreet Brar,2021-2024,3,3,3,30,25*,-,21,142.85,0,0,0,2,2,
(Punjab Kings),,,,,,,,,,,,,,,
CA Pujara,2010-2010,1,1,0,29,29,29.00,25,116.00,0,0,0,4,0,
(Kolkata Knight Riders),,,,,,,,,,,,,,,
JA Morkel,2010-2010,1,1,0,28,28,28.00,12,233.33,0,0,0,1,3,
(Chennai Super Kings),,,,,,,,,,,,,,,
B Kumar,2014-2024,4,3,1,27,27,13.50,31,87.09,0,0,1,3,0,
(Sunrisers Hyderabad),,,,,,,,,,,,,,,
AK Markram,2023-2024,2,2,0,27,17,13.50,29,93.10,0,0,0,1,0,
(Sunrisers Hyderabad),,,,,,,,,,,,,,,
DJ Malan,2021-2021,1,1,0,26,26,26.00,26,100.00,0,0,0,1,1,
(Punjab Kings),,,,,,,,,,,,,,,
KS Williamson,2023-2024,2,1,0,26,26,26.00,22,118.18,0,0,0,4,0,
(Gujarat Titans),,,,,,,,,,,,,,,
S Badrinath,2010-2010,1,1,0,25,25,25.00,27,92.59,0,0,0,2,0,
(Chennai Super Kings),,,,,,,,,,,,,,,
HH Gibbs,2010-2010,1,1,0,25,25,25.00,14,178.57,0,0,0,2,2,
(Deccan Chargers),,,,,,,,,,,,,,,
RV Patel,2023-2023,1,1,0,23,23,23.00,13,176.92,0,0,0,2,1,
(Delhi Capitals),,,,,,,,,,,,,,,
JM Bairstow,2024-2024,1,1,0,22,22,22.00,13,169.23,0,0,0,4,0,
(Punjab Kings),,,,,,,,,,,,,,,
N Pooran,2021-2023,3,3,0,22,19,7.33,28,78.57,0,0,1,1,1,
"(Lucknow Super Giants, Punjab Kings)",,,,,,,,,,,,,,,
A Symonds,2010-2010,1,1,0,22,22,22.00,14,157.14,0,0,0,3,0,
(Deccan Chargers),,,,,,,,,,,,,,,
A Badoni,2023-2023,1,1,0,21,21,21.00,11,190.90,0,0,0,1,2,
(Lucknow Super Giants),,,,,,,,,,,,,,,
SP Narine,2014-2024,5,4,0,21,21,5.25,22,95.45,0,0,3,4,0,
(Kolkata Knight Riders),,,,,,,,,,,,,,,
IK Pathan,2014-2014,1,1,1,21,21*,-,21,100.00,0,0,0,2,0,
(Sunrisers Hyderabad),,,,,,,,,,,,,,,
Shakib Al Hasan,2014-2014,1,1,1,21,21*,-,14,150.00,0,0,0,1,1,
(Kolkata Knight Riders),,,,,,,,,,,,,,,
J Fraser-McGurk,2024-2024,1,1,0,20,20,20.00,10,200.00,0,0,0,2,2,
(Delhi Capitals),,,,,,,,,,,,,,,
T Kohler-Cadmore,2024-2024,1,1,0,20,20,20.00,15,133.33,0,0,0,4,0,
(Rajasthan Royals),,,,,,,,,,,,,,,
AJ Finch,2014-2015,2,2,1,19,10*,19.00,24,79.16,0,0,0,3,0,
"(Mumbai Indians, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
ML Hayden,2010-2010,1,1,0,19,19,19.00,14,135.71,0,0,0,1,1,
(Chennai Super Kings),,,,,,,,,,,,,,,
TM Head,2024-2024,2,2,0,19,19,9.50,16,118.75,0,0,1,3,0,
(Sunrisers Hyderabad),,,,,,,,,,,,,,,
SD Hope,2024-2024,1,1,0,19,19,19.00,10,190.00,0,0,0,1,2,
(Delhi Capitals),,,,,,,,,,,,,,,
MJ Santner,2023-2025,3,3,2,19,18*,19.00,14,135.71,0,0,1,1,2,
"(Chennai Super Kings, Mumbai Indians)",,,,,,,,,,,,,,,
OA Shah,2010-2010,1,1,1,19,19*,-,17,111.76,0,0,0,0,2,
(Kolkata Knight Riders),,,,,,,,,,,,,,,
PP Chawla,2023-2024,3,3,0,18,18,6.00,15,120.00,0,0,2,1,1,
(Mumbai Indians),,,,,,,,,,,,,,,
M Markande,2023-2024,2,1,1,18,18*,-,9,200.00,0,0,0,2,1,
(Sunrisers Hyderabad),,,,,,,,,,,,,,,
SK Raina,2010-2015,2,2,0,18,14,9.00,20,90.00,0,0,0,1,0,
(Chennai Super Kings),,,,,,,,,,,,,,,
GC Smith,2010-2010,1,1,0,18,18,18.00,17,105.88,0,0,0,3,0,
(Rajasthan Royals),,,,,,,,,,,,,,,
R Ashwin,2015-2024,5,3,1,16,10,8.00,12,133.33,0,0,0,1,1,
"(Chennai Super Kings, Rajasthan Royals)",,,,,,,,,,,,,,,
R Bhatia,2014-2014,4,3,2,16,6*,16.00,13,123.07,0,0,0,1,1,
(Rajasthan Royals),,,,,,,,,,,,,,,
KA Jamieson,2021-2021,2,1,1,16,16*,-,11,145.45,0,0,0,1,1,
(Royal Challengers Bangalore),,,,,,,,,,,,,,,
PA Patel,2015-2015,1,1,0,16,16,16.00,11,145.45,0,0,0,2,0,
(Mumbai Indians),,,,,,,,,,,,,,,
R Powell,2024-2024,1,1,1,16,16*,-,8,200.00,0,0,0,2,1,
(Rajasthan Royals),,,,,,,,,,,,,,,
JM Sharma,2024-2024,1,1,0,16,16,16.00,8,200.00,0,0,0,0,2,
(Punjab Kings),,,,,,,,,,,,,,,
Sikandar Raza,2024-2024,1,1,0,15,15,15.00,16,93.75,0,0,0,0,0,
(Punjab Kings),,,,,,,,,,,,,,,
UBT Chand,2014-2015,2,2,0,14,12,7.00,26,53.84,0,0,0,1,0,
"(Mumbai Indians, Rajasthan Royals)",,,,,,,,,,,,,,,
R Shukla,2014-2014,1,1,0,14,14,14.00,12,116.66,0,0,0,2,0,
(Delhi Daredevils),,,,,,,,,,,,,,,
TH David,2023-2024,3,3,0,13,11,4.33,15,86.66,0,0,1,1,0,
(Mumbai Indians),,,,,,,,,,,,,,,
Ishan Kishan,2023-2024,3,2,0,13,13,6.50,25,52.00,0,0,1,1,0,
(Mumbai Indians),,,,,,,,,,,,,,,
MG Johnson,2015-2015,1,1,1,13,13*,-,7,185.71,0,0,0,1,0,
(Kings XI Punjab),,,,,,,,,,,,,,,
KP Pietersen,2014-2014,1,1,0,13,13,13.00,18,72.22,0,0,0,1,0,
(Delhi Daredevils),,,,,,,,,,,,,,,
AS Tendulkar,2023-2023,1,1,0,13,13,13.00,9,144.44,0,0,0,0,1,
