Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,
SN Thakur,2017-2025,9,6,1,84,68,16.80,49,171.42,0,1,1,11,3,
"(Chennai Super Kings, Kolkata Knight Riders, Lucknow Super Giants, Rising Pune Supergiant)",,,,,,,,,,,,,,,
MR Marsh,2025-2025,1,1,0,81,81,81.00,48,168.75,0,1,0,6,5,
(Lucknow Super Giants),,,,,,,,,,,,,,,
NV Ojha,2010-2017,7,6,1,79,26,15.80,93,84.94,0,0,1,10,1,
"(Delhi Daredevils, Rajasthan Royals, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
A Symonds,2008-2010,2,2,0,77,45,38.50,76,101.31,0,0,0,7,2,
(Deccan Chargers),,,,,,,,,,,,,,,
KV Sharma,2013-2024,8,7,4,71,32,23.66,52,136.53,0,0,0,1,6,
"(Chennai Super Kings, Mumbai Indians, Royal Challengers Bangalore, Royal Challengers Bengaluru, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
P Arya,2025-2025,1,1,0,69,69,69.00,35,197.14,0,1,0,8,4,
(Punjab Kings),,,,,,,,,,,,,,,
Shashank Singh,2024-2025,2,1,1,68,68*,-,28,242.85,0,1,0,2,8,
(Punjab Kings),,,,,,,,,,,,,,,
LMP Simmons,2015-2017,2,2,0,68,68,34.00,50,136.00,0,1,1,8,3,
(Mumbai Indians),,,,,,,,,,,,,,,
CA Pujara,2010-2011,7,3,2,67,45*,67.00,66,101.51,0,0,0,8,1,
"(Kolkata Knight Riders, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
RN ten Doeschate,2011-2015,11,7,2,67,18,13.40,50,134.00,0,0,1,2,5,
(Kolkata Knight Riders),,,,,,,,,,,,,,,
Abhishek Sharma,2023-2025,3,3,0,66,32,22.00,42,157.14,0,0,0,7,4,
(Sunrisers Hyderabad),,,,,,,,,,,,,,,
MM Ali,2019-2025,4,2,0,66,66,33.00,30,220.00,0,1,1,5,6,
"(Chennai Super Kings, Kolkata Knight Riders, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
C de Grandhomme,2017-2017,6,4,0,65,36,16.25,39,166.66,0,0,2,7,3,
(Kolkata Knight Riders),,,,,,,,,,,,,,,
MC Henriques,2015-2017,3,3,0,65,41,21.66,53,122.64,0,0,0,5,2,
(Sunrisers Hyderabad),,,,,,,,,,,,,,,
TM Dilshan,2008-2012,3,3,0,64,38,21.33,53,120.75,0,0,0,11,0,
"(Delhi Daredevils, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
CL White,2008-2013,2,2,0,64,34,32.00,47,136.17,0,0,0,6,2,
"(Royal Challengers Bangalore, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
Harbhajan Singh,2011-2018,9,5,3,63,30,31.50,46,136.95,0,0,0,9,2,
"(Chennai Super Kings, Mumbai Indians)",,,,,,,,,,,,,,,
Kuldeep Yadav,2016-2024,23,7,3,62,35*,15.50,68,91.17,0,0,1,7,1,
"(Delhi Capitals, Kolkata Knight Riders)",,,,,,,,,,,,,,,
OA Shah,2010-2013,4,4,1,62,31,20.66,64,96.87,0,0,0,6,0,
"(Kolkata Knight Riders, Rajasthan Royals)",,,,,,,,,,,,,,,
IK Pathan,2008-2016,5,4,1,60,42*,20.00,39,153.84,0,0,0,3,3,
"(Delhi Daredevils, Kings XI Punjab, Rising Pune Supergiants)",,,,,,,,,,,,,,,
KS Williamson,2016-2018,3,3,0,60,50,20.00,56,107.14,0,1,0,4,1,
(Sunrisers Hyderabad),,,,,,,,,,,,,,,
GJ Bailey,2014-2016,3,3,1,59,33,29.50,44,134.09,0,0,0,4,3,
"(Kings XI Punjab, Rising Pune Supergiants)",,,,,,,,,,,,,,,
STR Binny,2010-2019,8,7,1,58,27,9.66,54,107.40,0,0,1,6,2,
"(Mumbai Indians, Rajasthan Royals, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
CJ Anderson,2015-2017,2,2,1,57,55*,57.00,46,123.91,0,1,0,4,3,
"(Delhi Daredevils, Mumbai Indians)",,,,,,,,,,,,,,,
DP Conway,2023-2023,1,1,0,56,56,56.00,40,140.00,0,1,0,4,3,
(Chennai Super Kings),,,,,,,,,,,,,,,
KM Jadhav,2010-2019,5,5,0,56,20,11.20,44,127.27,0,0,0,6,2,
"(Chennai Super Kings, Delhi Daredevils, Kochi Tuskers Kerala, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
N Jagadeesan,2023-2023,3,3,0,56,36,18.66,39,143.58,0,0,0,9,1,
(Kolkata Knight Riders),,,,,,,,,,,,,,,
WG Jacks,2024-2024,1,1,0,55,55,55.00,32,171.87,0,1,0,4,5,
(Royal Challengers Bengaluru),,,,,,,,,,,,,,,
A Badoni,2023-2025,3,2,0,54,29,27.00,48,112.50,0,0,0,4,2,
(Lucknow Super Giants),,,,,,,,,,,,,,,
B Sai Sudharsan,2025-2025,1,1,0,52,52,52.00,36,144.44,0,1,0,6,1,
(Gujarat Titans),,,,,,,,,,,,,,,
A Mishra,2008-2017,7,5,3,51,31,25.50,53,96.22,0,0,0,4,1,
"(Deccan Chargers, Delhi Daredevils, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
Bipul Sharma,2010-2017,5,4,2,50,21*,25.00,39,128.20,0,0,0,3,2,
"(Kings XI Punjab, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
MV Boucher,2008-2011,2,1,1,50,50*,-,40,125.00,0,1,0,5,1,
"(Kolkata Knight Riders, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
S Dube,2023-2023,1,1,0,50,50,50.00,21,238.09,0,1,0,2,5,
(Chennai Super Kings),,,,,,,,,,,,,,,
JP Duminy,2010-2018,4,4,1,50,25,16.66,51,98.03,0,0,0,4,1,
"(Deccan Chargers, Delhi Daredevils, Mumbai Indians)",,,,,,,,,,,,,,,
NLTC Perera,2013-2016,2,2,0,49,36,24.50,36,136.11,0,0,0,2,2,
"(Rising Pune Supergiants, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
B Chipli,2011-2011,1,1,0,48,48,48.00,40,120.00,0,0,0,6,1,
(Deccan Chargers),,,,,,,,,,,,,,,
M Kartik,2008-2012,10,4,1,48,21,16.00,44,109.09,0,0,0,5,0,
"(Kolkata Knight Riders, Pune Warriors)",,,,,,,,,,,,,,,
KH Pandya,2017-2025,7,6,3,48,24,16.00,38,126.31,0,0,1,0,4,
"(Lucknow Super Giants, Mumbai Indians, Royal Challengers Bengaluru)",,,,,,,,,,,,,,,
SE Marsh,2008-2012,3,3,0,46,40,15.33,44,104.54,0,0,0,4,2,
(Kings XI Punjab),,,,,,,,,,,,,,,
JEC Franklin,2011-2011,1,1,1,45,45*,-,23,195.65,0,0,0,5,1,
(Mumbai Indians),,,,,,,,,,,,,,,
JA Morkel,2008-2015,6,3,2,45,30*,45.00,42,107.14,0,0,0,4,1,
"(Chennai Super Kings, Delhi Daredevils)",,,,,,,,,,,,,,,
MP Stoinis,2016-2024,6,6,1,45,17*,9.00,39,115.38,0,0,2,5,2,
"(Kings XI Punjab, Lucknow Super Giants, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
YV Takawale,2014-2014,1,1,0,45,45,45.00,36,125.00,0,0,0,5,1,
(Royal Challengers Bangalore),,,,,,,,,,,,,,,
J Botha,2012-2015,5,5,1,44,17,11.00,28,157.14,0,0,0,7,1,
"(Delhi Daredevils, Kolkata Knight Riders, Rajasthan Royals)",,,,,,,,,,,,,,,
Gurkeerat Singh,2013-2016,3,3,1,43,28*,21.50,33,130.30,0,0,0,3,2,
(Kings XI Punjab),,,,,,,,,,,,,,,
P Negi,2015-2019,5,4,0,43,27,10.75,40,107.50,0,0,0,4,2,
"(Chennai Super Kings, Delhi Daredevils, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
AP Tare,2010-2015,4,4,0,43,35,10.75,38,113.15,0,0,1,4,2,
(Mumbai Indians),,,,,,,,,,,,,,,
