Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,
Suryansh Shedge,2,2,0,6,4,3.00,8,75.00,0,0,0,0,0,
(Punjab Kings),,,,,,,,,,,,,,
JD Unadkat,1,1,1,6,6*,-,1,600.00,0,0,0,0,1,
(Sunrisers Hyderabad),,,,,,,,,,,,,,
SP Narine,1,1,0,5,5,5.00,4,125.00,0,0,0,1,0,
(Kolkata Knight Riders),,,,,,,,,,,,,,
T Stubbs,1,1,0,5,5,5.00,8,62.50,0,0,0,0,0,
(Delhi Capitals),,,,,,,,,,,,,,
LH Ferguson,2,1,1,4,4*,-,1,400.00,0,0,0,1,0,
(Punjab Kings),,,,,,,,,,,,,,
DA Miller,1,1,0,4,4,4.00,6,66.66,0,0,0,0,0,
(Gujarat Titans),,,,,,,,,,,,,,
RK Bhui,1,1,0,3,3,3.00,7,42.85,0,0,0,0,0,
(Delhi Capitals),,,,,,,,,,,,,,
PJ Cummins,1,1,0,3,3,3.00,4,75.00,0,0,0,0,0,
(Sunrisers Hyderabad),,,,,,,,,,,,,,
Harshit Rana,1,1,0,3,3,3.00,6,50.00,0,0,0,0,0,
(Kolkata Knight Riders),,,,,,,,,,,,,,
Rashid Khan,1,1,0,3,3,3.00,3,100.00,0,0,0,0,0,
(Gujarat Titans),,,,,,,,,,,,,,
Arshdeep Singh,9,2,1,2,1*,2.00,6,33.33,0,0,0,0,0,
(Punjab Kings),,,,,,,,,,,,,,
Q de Kock,1,1,0,2,2,2.00,4,50.00,0,0,0,0,0,
(Kolkata Knight Riders),,,,,,,,,,,,,,
V Shankar,1,1,1,2,2*,-,2,100.00,0,0,0,0,0,
(Chennai Super Kings),,,,,,,,,,,,,,
RK Singh,1,1,0,2,2,2.00,9,22.22,0,0,0,0,0,
(Kolkata Knight Riders),,,,,,,,,,,,,,
Sumit Kumar,1,1,0,2,2,2.00,9,22.22,0,0,0,0,0,
(Delhi Capitals),,,,,,,,,,,,,,
RD Gaikwad,1,1,0,1,1,1.00,3,33.33,0,0,0,0,0,
(Chennai Super Kings),,,,,,,,,,,,,,
Kuldeep Yadav,1,1,0,1,1,1.00,2,50.00,0,0,0,0,0,
(Delhi Capitals),,,,,,,,,,,,,,
