Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5,Unnamed: 14
Washington Sundar,2017-2025,64,61,184.3,1,1423,39,Mar-16,36.48,7.71,28.3,0,0,
,,,,,,,,,,,,,,
Moen Ali,2018-2025,71,55,137.2,1,963,38,Apr-26,25.34,7.01,21.6,1,0,
,,,,,,,,,,,,,,
DT Christian,2011-2021,49,49,147.1,0,1192,38,02-Oct,31.36,8.09,23.2,0,0,
,,,,,,,,,,,,,,
PJ Sangwan,2008-2022,42,42,142.4,1,1240,38,Mar-18,32.63,8.69,22.5,0,0,
,,,,,,,,,,,,,,
DE Bollinger,2010-2012,27,27,96,3,693,37,Apr-13,18.72,7.21,15.5,1,0,
,,,,,,,,,,,,,,
MS Gony,2008-2017,44,44,148,3,1287,37,Mar-31,34.78,8.69,24,0,0,
,,,,,,,,,,,,,,
M Markande,2018-2024,37,37,120,0,1069,37,Apr-15,28.89,8.9,19.4,2,0,
,,,,,,,,,,,,,,
Mitchell Marsh,2010-2025,51,34,93.2,1,795,37,Apr-25,21.48,8.51,15.1,2,0,
,,,,,,,,,,,,,,
Yash Dayal,2022-2025,38,38,128.1,0,1225,37,Mar-20,33.1,9.55,20.7,0,0,
,,,,,,,,,,,,,,
Harshit Rana,2022-2025,30,29,97.1,1,905,36,Mar-24,25.13,9.31,16.1,0,0,
,,,,,,,,,,,,,,
Yuvraj Singh,2008-2019,132,73,144.5,0,1077,36,Apr-29,29.91,7.43,24.1,2,0,
,,,,,,,,,,,,,,
Murugan Ashwin,2016-2023,44,44,145,0,1162,35,Mar-21,33.2,8.01,24.8,0,0,
,,,,,,,,,,,,,,
WD Parnell,2011-2023,33,33,120.3,1,937,35,03-Oct,26.77,7.77,20.6,0,0,
,,,,,,,,,,,,,,
Pawan Negi,2012-2019,50,42,119.2,0,939,34,Apr-18,27.61,7.86,21,1,0,
,,,,,,,,,,,,,,
Maheesh Theekshana,2022-2025,36,36,138,1,1119,34,Apr-33,32.91,8.1,24.3,1,0,
,,,,,,,,,,,,,,
KK Cooper,2012-2014,25,25,96,1,757,33,Apr-26,22.93,7.88,17.4,1,0,
,,,,,,,,,,,,,,
Mukesh Kumar,2023-2025,30,30,98,1,1005,33,Apr-33,30.45,10.25,17.8,1,0,
,,,,,,,,,,,,,,
Rahul Tewatia,2014-2025,102,52,140.3,0,1111,32,Mar-18,34.71,7.9,26.3,0,0,
,,,,,,,,,,,,,,
Vaibhav Arora,2022-2025,29,29,95.2,1,879,31,Mar-27,28.35,9.22,18.4,0,0,
,,,,,,,,,,,,,,
M Kartik,2008-2014,56,55,191.4,1,1388,31,Mar-17,44.77,7.24,37,0,0,
,,,,,,,,,,,,,,
