Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5,
MA Starc,2014-2025,49,49,174.3,1,1503,65,5/35,23.12,8.61,16.1,2,1,
"(Delhi Capitals, Kolkata Knight Riders, Royal Challengers Bangalore)",,,,,,,,,,,,,,
SK Trivedi,2008-2013,76,75,251.0,2,1904,65,4/25,29.29,7.58,23.1,1,0,
(Rajasthan Royals),,,,,,,,,,,,,,
M Muralidaran,2008-2014,66,66,254.0,1,1696,63,3/11,26.92,6.67,24.1,0,0,
"(Chennai Super Kings, Kochi Tuskers Kerala, Royal Challengers Bangalore)",,,,,,,,,,,,,,
Shakib Al Hasan,2011-2021,71,70,247.2,1,1839,63,3/17,29.19,7.43,23.5,0,0,
"(Kolkata Knight Riders, Sunrisers Hyderabad)",,,,,,,,,,,,,,
MG Johnson,2013-2018,54,54,205.2,2,1702,61,3/26,27.90,8.28,20.1,0,0,
"(Kings XI Punjab, Kolkata Knight Riders, Mumbai Indians)",,,,,,,,,,,,,,
Mustafizur Rahman,2016-2024,57,57,216.2,2,1762,61,4/29,28.88,8.14,21.2,1,0,
"(Chennai Super Kings, Delhi Capitals, Mumbai Indians, Rajasthan Royals, Sunrisers Hyderabad)",,,,,,,,,,,,,,
A Nortje,2020-2025,47,47,178.4,1,1597,61,3/33,26.18,8.93,17.5,0,0,
"(Delhi Capitals, Kolkata Knight Riders)",,,,,,,,,,,,,,
JP Faulkner,2011-2017,60,60,204.3,4,1778,59,5/16,30.13,8.69,20.7,0,2,
"(Gujarat Lions, Kings XI Punjab, Pune Warriors, Rajasthan Royals)",,,,,,,,,,,,,,
JC Archer,2018-2025,50,50,195.0,3,1530,58,3/15,26.37,7.84,20.1,0,0,
"(Mumbai Indians, Rajasthan Royals)",,,,,,,,,,,,,,
SM Curran,2019-2025,63,62,205.5,0,1999,58,4/11,34.46,9.71,21.2,1,0,
"(Chennai Super Kings, Kings XI Punjab, Punjab Kings)",,,,,,,,,,,,,,
S Kaul,2013-2022,55,55,201.3,3,1739,58,4/29,29.98,8.63,20.8,1,0,
"(Delhi Daredevils, Royal Challengers Bangalore, Sunrisers Hyderabad)",,,,,,,,,,,,,,
SK Warne,2008-2011,55,54,199.0,1,1447,57,4/21,25.38,7.27,20.9,1,0,
(Rajasthan Royals),,,,,,,,,,,,,,
JR Hazlewood,2020-2025,37,37,137.2,1,1121,53,4/25,21.15,8.16,15.5,2,0,
"(Chennai Super Kings, Royal Challengers Bangalore, Royal Challengers Bengaluru)",,,,,,,,,,,,,,
JO Holder,2013-2023,46,46,165.5,0,1461,53,4/52,27.56,8.81,18.7,1,0,
"(Chennai Super Kings, Kolkata Knight Riders, Lucknow Super Giants, Rajasthan Royals, Sunrisers Hyderabad)",,,,,,,,,,,,,,
