Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,venue
RN ten Doeschate,2015-2015,1,1,1,38,38*,-,28,135.71,0,0,0,3,2,M. A. Chidambaram Stadium
Tim David,2023-2025,3,3,1,37,22*,18.5,25,148,0,0,0,2,3,M. A. Chidambaram Stadium
MJ Lumb,2010-2010,1,1,0,37,37,37,26,142.3,0,0,0,6,1,M. A. Chidambaram Stadium
A Mhatre,2025-2025,2,2,0,37,30,18.5,25,148,0,0,0,7,0,M. A. Chidambaram Stadium
Sai Sudharsan,2024-2024,1,1,0,37,37,37,31,119.35,0,0,0,3,0,M. A. Chidambaram Stadium
PP Chawla,2008-2023,9,6,2,35,17,8.75,38,92.1,0,0,2,3,2,M. A. Chidambaram Stadium
Mitchell Santner,2019-2025,4,3,1,34,22,17,34,100,0,0,0,1,2,M. A. Chidambaram Stadium
Lalit Yadav,2021-2023,2,2,1,34,22*,34,30,113.33,0,0,0,4,0,M. A. Chidambaram Stadium
Abishek Porel,2025-2025,1,1,0,33,33,33,20,165,0,0,0,4,1,M. A. Chidambaram Stadium
Jitesh Sharma,2023-2025,3,2,0,33,21,16.5,16,206.25,0,0,0,3,2,M. A. Chidambaram Stadium
DT Christian,2011-2021,5,5,1,32,27*,8,32,100,0,0,0,2,1,M. A. Chidambaram Stadium
E Lewis,2019-2019,1,1,0,32,32,32,30,106.66,0,0,0,3,1,M. A. Chidambaram Stadium
Kamindu Mendis,2025-2025,1,1,1,32,32*,-,22,145.45,0,0,0,3,0,M. A. Chidambaram Stadium
J Botha,2011-2013,2,2,0,31,23,15.5,26,119.23,0,0,0,4,1,M. A. Chidambaram Stadium
KC Sangakkara,2010-2012,3,3,0,31,15,10.33,33,93.93,0,0,0,3,1,M. A. Chidambaram Stadium
Deepak Chahar,2018-2025,20,3,2,29,28*,29,19,152.63,0,0,1,2,2,M. A. Chidambaram Stadium
DJ Hussey,2008-2013,4,4,0,29,22,7.25,25,116,0,0,2,3,1,M. A. Chidambaram Stadium
A Mishra,2010-2021,8,4,0,29,15,7.25,41,70.73,0,0,0,3,0,M. A. Chidambaram Stadium
CH Morris,2013-2019,8,6,5,29,16*,29,22,131.81,0,0,1,0,1,M. A. Chidambaram Stadium
K Gowtham,2019-2023,3,3,1,28,17*,14,22,127.27,0,0,0,0,2,M. A. Chidambaram Stadium
Jofra Archer,2019-2023,2,2,2,27,24*,-,13,207.69,0,0,0,1,2,M. A. Chidambaram Stadium
KA Jamieson,2021-2021,3,3,1,27,12,13.5,17,158.82,0,0,0,3,1,M. A. Chidambaram Stadium
P Kumar,2008-2013,4,2,1,27,21,27,17,158.82,0,0,0,2,1,M. A. Chidambaram Stadium
Washington Sundar,2021-2023,4,3,0,27,10,9,33,81.81,0,0,0,2,0,M. A. Chidambaram Stadium
MN Samuels,2012-2012,1,1,0,26,26,26,24,108.33,0,0,0,2,1,M. A. Chidambaram Stadium
Ayush Badoni,2023-2024,3,2,0,24,23,12,25,96,0,0,0,0,0,M. A. Chidambaram Stadium
M Kaif,2008-2010,2,2,0,24,14,12,23,104.34,0,0,0,1,0,M. A. Chidambaram Stadium
A Raghuvanshi,2024-2024,1,1,0,24,24,24,18,133.33,0,0,0,3,1,M. A. Chidambaram Stadium
JD Ryder,2011-2012,2,2,0,24,15,12,21,114.28,0,0,0,3,1,M. A. Chidambaram Stadium
M Shahrukh Khan,2021-2023,3,2,1,24,22,24,20,120,0,0,0,0,2,M. A. Chidambaram Stadium
Umesh Yadav,2010-2024,7,5,2,24,12*,8,35,68.57,0,0,1,0,2,M. A. Chidambaram Stadium
Priyansh Arya,2025-2025,1,1,0,23,23,23,15,153.33,0,0,0,5,0,M. A. Chidambaram Stadium
RS Bopara,2010-2015,2,2,0,23,22,11.5,23,100,0,0,0,0,2,M. A. Chidambaram Stadium
MS Gony,2008-2013,10,5,3,23,15*,11.5,21,109.52,0,0,0,1,2,M. A. Chidambaram Stadium
KP Pietersen,2010-2010,1,1,1,23,23*,-,14,164.28,0,0,0,2,1,M. A. Chidambaram Stadium
J Yadav,2019-2021,3,2,1,23,23,23,22,104.54,0,0,0,1,0,M. A. Chidambaram Stadium
AN Ahmed,2010-2012,3,2,2,22,18*,-,20,110,0,0,0,1,1,M. A. Chidambaram Stadium
JP Duminy,2011-2015,2,2,0,22,17,11,16,137.5,0,0,0,2,0,M. A. Chidambaram Stadium
JR Hopes,2008-2011,2,2,0,22,14,11,13,169.23,0,0,0,1,1,M. A. Chidambaram Stadium
JM Kemp,2010-2010,2,1,0,22,22,22,16,137.5,0,0,0,1,1,M. A. Chidambaram Stadium
R Sathish,2010-2013,3,3,1,22,18*,11,27,81.48,0,0,1,1,0,M. A. Chidambaram Stadium
