Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,venue
Devdutt Padikkal,2022-2025,2,2,0,38,28,19,30,126.66,0,0,0,3,2,Eden Gardens
Axar Patel,2014-2024,6,4,0,38,21,9.5,31,122.58,0,0,1,3,2,Eden Gardens
Umar Gul,2008-2008,3,3,1,37,24,18.5,17,217.64,0,0,0,1,5,Eden Gardens
R Bhatia,2010-2013,21,8,3,36,11,7.2,40,90,0,0,0,3,0,Eden Gardens
DJG Sammy,2014-2015,2,2,0,36,29,18,28,128.57,0,0,0,1,3,Eden Gardens
Ben Stokes,2017-2019,3,3,0,36,14,12,38,94.73,0,0,0,3,0,Eden Gardens
Ruturaj Gaikwad,2023-2023,1,1,0,35,35,35,20,175,0,0,0,2,3,Eden Gardens
E Lewis,2018-2022,3,3,1,35,18,17.5,35,100,0,0,0,4,1,Eden Gardens
MS Wade,2022-2022,1,1,0,35,35,35,30,116.66,0,0,0,6,0,Eden Gardens
DT Christian,2011-2017,2,2,1,34,25,34,23,147.82,0,0,0,1,3,Eden Gardens
M Kaif,2008-2008,1,1,1,34,34*,-,31,109.67,0,0,0,4,0,Eden Gardens
Rashid Khan,2017-2025,7,1,1,34,34*,-,10,340,0,0,0,2,4,Eden Gardens
Jofra Archer,2018-2019,3,2,1,33,27*,33,17,194.11,0,0,0,3,2,Eden Gardens
SP Goswami,2010-2012,4,3,0,33,24,11,35,94.28,0,0,0,3,1,Eden Gardens
Ravichandra Ashwin,2010-2024,13,6,2,32,11,8,51,62.74,0,0,0,3,0,Eden Gardens
SP Fleming,2008-2008,1,1,1,32,32*,-,20,160,0,0,0,6,0,Eden Gardens
Bhuvaneshwar Kumar,2012-2024,10,4,3,32,11*,32,17,188.23,0,0,0,5,1,Eden Gardens
M Shahrukh Khan,2023-2025,2,2,2,32,21*,-,13,246.15,0,0,0,3,2,Eden Gardens
Mohit Sharma,2013-2023,8,5,3,32,21*,16,19,168.42,0,0,1,2,2,Eden Gardens
Tilak Varma,2024-2024,1,1,0,32,32,32,17,188.23,0,0,0,5,1,Eden Gardens
Liam Livingstone,2023-2025,2,2,1,30,15*,30,14,214.28,0,0,0,5,1,Eden Gardens
MD Mishra,2010-2010,1,1,0,29,29,29,16,181.25,0,0,0,6,0,Eden Gardens
Kamindu Mendis,2025-2025,1,1,0,27,27,27,20,135,0,0,0,1,2,Eden Gardens
PP Shaw,2019-2024,2,2,0,27,14,13.5,14,192.85,0,0,0,3,2,Eden Gardens
PN Mankad,2023-2023,1,1,0,26,26,26,20,130,0,0,0,5,0,Eden Gardens
Romen Powell,2024-2025,2,1,0,26,26,26,13,200,0,0,0,1,3,Eden Gardens
Rilee Rossouw,2024-2024,1,1,0,26,26,26,16,162.5,0,0,0,1,2,Eden Gardens
Jaydev Unadkat,2010-2019,11,2,1,26,26,26,19,136.84,0,0,0,3,1,Eden Gardens
HM Amla,2017-2017,1,1,0,25,25,25,27,92.59,0,0,0,4,0,Eden Gardens
CR Brathwaite,2016-2019,4,4,0,25,8,6.25,18,138.88,0,0,0,1,2,Eden Gardens
Mohammad Hafeez,2008-2008,4,4,0,25,13,6.25,33,75.75,0,0,0,3,1,Eden Gardens
SPD Smith,2012-2019,3,3,0,25,14,8.33,31,80.64,0,0,0,1,1,Eden Gardens
CR Woakes,2017-2018,7,4,1,25,18,8.33,30,83.33,0,0,0,4,0,Eden Gardens
CH Morris,2013-2019,6,4,0,24,11,6,23,104.34,0,0,1,3,0,Eden Gardens
SS Prabhudessai,2024-2024,1,1,0,24,24,24,18,133.33,0,0,0,3,0,Eden Gardens
DB Ravi Teja,2011-2013,2,2,0,24,14,12,23,104.34,0,0,0,1,1,Eden Gardens
GC Smith,2008-2008,1,1,0,24,24,24,24,100,0,0,0,4,0,Eden Gardens
K Gowtham,2018-2023,3,3,2,23,11*,23,16,143.75,0,0,0,2,1,Eden Gardens
J Arunkumar,2008-2008,1,1,0,22,22,22,17,129.41,0,0,0,5,0,Eden Gardens
SP Jackson,2017-2017,2,2,1,22,12*,22,14,157.14,0,0,0,4,0,Eden Gardens
AL Menaria,2011-2012,2,2,0,22,21,11,23,95.65,0,0,0,1,1,Eden Gardens
T Taibu,2008-2008,2,2,0,22,15,11,21,104.76,0,0,0,2,0,Eden Gardens
Abdul Samad,2024-2025,2,2,0,21,15,10.5,15,140,0,0,0,2,1,Eden Gardens
TK Curran,2018-2018,3,3,0,21,18,7,23,91.3,0,0,0,3,0,Eden Gardens
UT Khawaja,2016-2016,1,1,0,21,21,21,17,123.52,0,0,0,3,0,Eden Gardens
P Kumar,2008-2017,8,5,3,21,12,10.5,26,80.76,0,0,1,2,0,Eden Gardens
Jitesh Sharma,2023-2025,3,1,0,21,21,21,18,116.66,0,0,0,0,2,Eden Gardens
MJ McClenaghan,2015-2018,3,1,0,20,20,20,8,250,0,0,0,0,3,Eden Gardens
Mitchell Starc,2014-2024,7,3,3,20,12*,-,13,153.84,0,0,0,2,0,Eden Gardens
DJ Willey,2023-2023,1,1,1,20,20*,-,20,100,0,0,0,2,0,Eden Gardens
MG Bracewell,2023-2023,1,1,0,19,19,19,18,105.55,0,0,0,1,1,Eden Gardens
JO Holder,2014-2016,2,2,0,19,16,9.5,15,126.66,0,0,0,2,1,Eden Gardens
SN Khan,2018-2019,2,2,0,19,13,9.5,23,82.6,0,0,0,2,0,Eden Gardens
Nitish Kumar Reddy,2025-2025,1,1,0,19,19,19,15,126.66,0,0,0,2,1,Eden Gardens
RT Ponting,2008-2008,2,2,0,19,19,9.5,32,59.37,0,0,1,1,0,Eden Gardens
S Rana,2014-2014,1,1,1,19,19*,-,12,158.33,0,0,0,2,0,Eden Gardens
TL Suman,2010-2011,2,2,1,19,15*,19,15,126.66,0,0,0,1,1,Eden Gardens
Umesh Yadav,2012-2023,25,8,7,19,6*,19,17,111.76,0,0,0,1,0,Eden Gardens
Abishek Porel,2024-2024,1,1,0,18,18,18,15,120,0,0,0,2,1,Eden Gardens
S Gopal,2018-2019,2,1,0,18,18,18,9,200,0,0,0,4,0,Eden Gardens
BJ Haddin,2011-2011,1,1,0,18,18,18,11,163.63,0,0,0,2,1,Eden Gardens
ST Jayasuriya,2008-2008,1,1,0,18,18,18,10,180,0,0,0,3,1,Eden Gardens
MK Lomror,2022-2024,2,2,0,18,14,9,12,150,0,0,0,3,0,Eden Gardens
Karrn Nair,2016-2018,3,2,0,18,15,9,25,72,0,0,0,3,0,Eden Gardens
Akash Deep,2023-2025,2,1,0,17,17,17,8,212.5,0,0,0,2,1,Eden Gardens
A Chopra,2008-2008,3,3,0,17,13,5.66,25,68,0,0,0,2,0,Eden Gardens
Harpreet Brar,2023-2025,3,1,1,17,17*,-,9,188.88,0,0,0,2,1,Eden Gardens
Naman Dhir,2024-2024,1,1,0,17,17,17,6,283.33,0,0,0,1,2,Eden Gardens
Shahbaz Ahmed,2022-2024,3,2,0,17,16,8.5,10,170,0,0,0,1,2,Eden Gardens
R Vinay Kumar,2008-2018,9,4,3,17,11,17,14,121.42,0,0,0,2,0,Eden Gardens
FY Fazal,2010-2011,2,2,0,16,13,8,17,94.11,0,0,0,1,0,Eden Gardens
Harshit Rana,2023-2025,16,3,2,16,10*,16,17,94.11,0,0,0,3,0,Eden Gardens
DL Vettori,2010-2012,3,2,2,16,12*,-,10,160,0,0,0,2,0,Eden Gardens
AB Agarkar,2008-2010,7,3,1,15,8*,7.5,13,115.38,0,0,0,2,0,Eden Gardens
NM Coulter-Nile,2016-2017,5,3,1,15,7*,7.5,19,78.94,0,0,0,1,1,Eden Gardens
MG Johnson,2013-2018,8,3,2,15,10*,15,18,83.33,0,0,0,0,1,Eden Gardens
AG Paunikar,2011-2011,1,1,0,15,15,15,15,100,0,0,0,2,0,Eden Gardens
SB Bangar,2008-2008,1,1,0,14,14,14,10,140,0,0,0,1,1,Eden Gardens
Pat Cummins,2014-2025,5,3,2,14,14,14,16,87.5,0,0,0,2,0,Eden Gardens
P Dogra,2010-2012,2,2,0,14,8,7,23,60.86,0,0,0,0,0,Eden Gardens
Harmeet Singh,2010-2013,3,1,0,14,14,14,6,233.33,0,0,0,3,0,Eden Gardens
CA Ingram,2019-2019,1,1,1,14,14*,-,6,233.33,0,0,0,1,1,Eden Gardens
Iqbal Abdulla,2008-2016,15,3,3,14,12*,-,12,116.66,0,0,0,1,0,Eden Gardens
C Munro,2016-2016,3,2,0,14,10,7,13,107.69,0,0,0,2,0,Eden Gardens
DW Steyn,2008-2019,7,2,1,14,13,14,13,107.69,0,0,0,1,0,Eden Gardens
AD Nath,2019-2019,1,1,0,13,13,13,15,86.66,0,0,0,0,1,Eden Gardens
JR Hopes,2008-2008,1,1,0,13,13,13,10,130,0,0,0,2,0,Eden Gardens
AS Raut,2010-2011,2,2,0,13,11,6.5,19,68.42,0,0,0,1,0,Eden Gardens
Shivam Mavi,2018-2018,6,3,1,13,7,6.5,12,108.33,0,0,0,1,0,Eden Gardens
Sohail Tanvir,2008-2008,1,1,0,13,13,13,8,162.5,0,0,0,1,1,Eden Gardens
AR Bawne,2017-2017,1,1,1,12,12*,-,12,100,0,0,0,1,0,Eden Gardens
J Fraser-McGurk,2024-2024,1,1,0,12,12,12,7,171.42,0,0,0,1,1,Eden Gardens
MF Maharoof,2008-2010,2,2,0,12,10,6,15,80,0,0,0,0,0,Eden Gardens
Harshal Patel,2012-2025,6,3,1,12,9*,6,11,109.09,0,0,1,0,1,Eden Gardens
PVD Chameera,2022-2024,2,1,1,11,11*,-,4,275,0,0,0,1,1,Eden Gardens
Jos Inglis,2025-2025,1,1,1,11,11*,-,6,183.33,0,0,0,2,0,Eden Gardens
R Sathish,2010-2011,2,1,0,11,11,11,11,100,0,0,0,1,0,Eden Gardens
L Balaji,2008-2013,16,2,2,10,9*,-,8,125,0,0,0,1,0,Eden Gardens
RV Gomez,2011-2011,1,1,1,10,10*,-,10,100,0,0,0,0,1,Eden Gardens
B Lee,2011-2013,9,2,0,10,9,5,8,125,0,0,0,0,1,Eden Gardens
S Nadeem,2012-2018,3,2,1,10,6*,10,16,62.5,0,0,0,0,0,Eden Gardens
AS Yadav,2008-2008,1,1,0,10,10,10,10,100,0,0,0,0,1,Eden Gardens
Mohammed Shami,2018-2025,5,2,1,9,7,9,10,90,0,0,0,1,0,Eden Gardens
Ishant Sharma,2008-2025,14,5,5,9,6*,-,18,50,0,0,0,0,0,Eden Gardens
D Wiese,2023-2023,2,2,1,9,8*,9,8,112.5,0,0,0,0,1,Eden Gardens
MC Juneja,2013-2013,1,1,0,8,8,8,9,88.88,0,0,0,1,0,Eden Gardens
Rasikh Salam,2024-2025,2,1,0,8,8,8,10,80,0,0,0,1,0,Eden Gardens
AC Voges,2010-2010,1,1,0,8,8,8,7,114.28,0,0,0,1,0,Eden Gardens
S Chanderpaul,2008-2008,1,1,0,7,7,7,11,63.63,0,0,0,1,0,Eden Gardens
SMSM Senanayake,2013-2013,5,2,2,7,7*,-,14,50,0,0,0,0,0,Eden Gardens
PC Valthaty,2011-2011,1,1,0,7,7,7,8,87.5,0,0,0,1,0,Eden Gardens
GH Vihari,2013-2015,2,2,0,7,6,3.5,14,50,0,0,0,0,0,Eden Gardens
BA Bhatt,2011-2013,3,1,1,6,6*,-,2,300,0,0,0,0,1,Eden Gardens
Cameron Green,2024-2024,1,1,0,6,6,6,4,150,0,0,0,0,1,Eden Gardens
SD Hope,2024-2024,1,1,0,6,6,6,3,200,0,0,0,0,1,Eden Gardens
AS Roy,2023-2024,2,1,1,6,6*,-,6,100,0,0,0,0,0,Eden Gardens
SB Styris,2008-2008,1,1,0,6,6,6,7,85.71,0,0,0,1,0,Eden Gardens
LRPL Taylor,2011-2011,1,1,0,6,6,6,9,66.66,0,0,0,0,0,Eden Gardens
Aniket Verma,2025-2025,1,1,0,6,6,6,6,100,0,0,0,1,0,Eden Gardens
SK Warne,2008-2011,3,2,2,6,3*,-,10,60,0,0,0,0,0,Eden Gardens
AN Ahmed,2011-2015,3,1,1,5,5*,-,2,250,0,0,0,1,0,Eden Gardens
S Aravind,2011-2017,3,1,1,5,5*,-,4,125,0,0,0,1,0,Eden Gardens
Arshad Khan,2024-2024,1,1,0,5,5,5,4,125,0,0,0,1,0,Eden Gardens
SA Asnodkar,2008-2008,1,1,0,5,5,5,3,166.66,0,0,0,1,0,Eden Gardens
Trent Boult,2017-2024,7,4,2,5,5*,2.5,11,45.45,0,0,2,0,0,Eden Gardens
JP Faulkner,2013-2017,3,2,1,5,4*,5,6,83.33,0,0,0,0,0,Eden Gardens
GB Hogg,2012-2016,10,1,0,5,5,5,5,100,0,0,0,0,0,Eden Gardens
BB Sran,2016-2019,3,2,2,5,3*,-,5,100,0,0,0,0,0,Eden Gardens
VR Aaron,2015-2019,3,1,0,4,4,4,5,80,0,0,0,0,0,Eden Gardens
A Ashish Reddy,2013-2013,1,1,0,4,4,4,5,80,0,0,0,0,0,Eden Gardens
KK Cooper,2013-2013,1,1,0,4,4,4,2,200,0,0,0,1,0,Eden Gardens
Sam Curran,2023-2024,2,1,0,4,4,4,9,44.44,0,0,0,0,0,Eden Gardens
Travis Head,2025-2025,1,1,0,4,4,4,2,200,0,0,0,1,0,Eden Gardens
Simeron Hetmyer,2022-2024,3,2,0,4,4,2,8,50,0,0,1,0,0,Eden Gardens
Marco Jansen,2023-2025,3,2,1,4,3,4,8,50,0,0,0,0,0,Eden Gardens
Z Khan,2008-2017,6,1,0,4,4,4,9,44.44,0,0,0,1,0,Eden Gardens
Tristan Stubbs,2024-2024,1,1,0,4,4,4,7,57.14,0,0,0,0,0,Eden Gardens
SK Trivedi,2008-2013,6,2,0,4,4,2,4,100,0,0,1,1,0,Eden Gardens
S Anirudha,2012-2014,2,1,0,3,3,3,5,60,0,0,0,0,0,Eden Gardens
Anureet Singh,2015-2018,2,1,1,3,3*,-,4,75,0,0,0,0,0,Eden Gardens
IR Jaggi,2011-2011,1,1,0,3,3,3,9,33.33,0,0,0,0,0,Eden Gardens
VY Mahesh,2008-2008,1,1,0,3,3,3,6,50,0,0,0,0,0,Eden Gardens
RR Powar,2008-2011,3,1,1,3,3*,-,6,50,0,0,0,0,0,Eden Gardens
KS Sharma,2023-2023,1,1,0,3,3,3,5,60,0,0,0,0,0,Eden Gardens
Nehal Wadhera,2024-2025,2,1,0,3,3,3,3,100,0,0,0,0,0,Eden Gardens
Azhar Mahmood,2013-2013,1,1,0,2,2,2,7,28.57,0,0,0,0,0,Eden Gardens
PD Collingwood,2010-2010,1,1,0,2,2,2,3,66.66,0,0,0,0,0,Eden Gardens
RS Gavaskar,2010-2010,2,1,0,2,2,2,8,25,0,0,0,0,0,Eden Gardens
Druv Jurel,2023-2024,2,1,0,2,2,2,4,50,0,0,0,0,0,Eden Gardens
Anushul Kamboj,2024-2024,1,1,1,2,2*,-,2,100,0,0,0,0,0,Eden Gardens
TS Mills,2017-2017,1,1,0,2,2,2,5,40,0,0,0,0,0,Eden Gardens
RG More,2015-2015,1,1,1,2,2*,-,2,100,0,0,0,0,0,Eden Gardens
Naveen-ul-Haq,2023-2023,1,1,1,2,2*,-,3,66.66,0,0,0,0,0,Eden Gardens
Ravi Bishnoi,2022-2025,4,1,0,2,2,2,2,100,0,0,0,0,0,Eden Gardens
JPR Scantlebury-Searles,2018-2018,2,1,0,2,2,2,5,40,0,0,0,0,0,Eden Gardens
SA Abbott,2015-2015,1,1,0,1,1,1,4,25,0,0,0,0,0,Eden Gardens
Anuj Rawat,2023-2023,1,1,0,1,1,1,5,20,0,0,0,0,0,Eden Gardens
VG Arora,2023-2025,11,1,1,1,1*,-,1,100,0,0,0,0,0,Eden Gardens
SE Bond,2010-2010,5,1,0,1,1,1,2,50,0,0,0,0,0,Eden Gardens
Rahul Chahar,2019-2024,3,1,1,1,1*,-,1,100,0,0,0,0,0,Eden Gardens
MJ Clarke,2012-2012,1,1,0,1,1,1,2,50,0,0,0,0,0,Eden Gardens
LH Ferguson,2019-2024,5,1,0,1,1,1,1,100,0,0,0,0,0,Eden Gardens
ML Hayden,2010-2010,1,1,0,1,1,1,8,12.5,0,0,0,0,0,Eden Gardens
SH Johnson,2025-2025,2,1,1,1,1*,-,1,100,0,0,0,0,0,Eden Gardens
Karanveer Singh,2014-2014,1,1,1,1,1*,-,1,100,0,0,0,0,0,Eden Gardens
K Kushagra,2024-2024,1,1,0,1,1,1,3,33.33,0,0,0,0,0,Eden Gardens
M Manhas,2012-2014,2,1,0,1,1,1,3,33.33,0,0,0,0,0,Eden Gardens
A Nehra,2008-2017,5,2,1,1,1*,1,5,20,0,0,1,0,0,Eden Gardens
PP Ojha,2008-2015,8,2,1,1,1*,1,1,100,0,0,1,0,0,Eden Gardens
WD Parnell,2012-2012,1,1,0,1,1,1,2,50,0,0,0,0,0,Eden Gardens
M Prasidh Krishna,2018-2025,12,2,2,1,1*,-,5,20,0,0,0,0,0,Eden Gardens
Sandeep Sharma,2015-2023,5,2,2,1,1*,-,1,100,0,0,0,0,0,Eden Gardens
RP Singh,2008-2011,2,1,1,1,1*,-,2,50,0,0,0,0,0,Eden Gardens
IS Sodhi,2018-2018,2,1,0,1,1,1,6,16.66,0,0,0,0,0,Eden Gardens
TM Srivastava,2008-2008,1,1,1,1,1*,-,1,100,0,0,0,0,0,Eden Gardens
Rahul Tewatia,2018-2025,5,2,0,1,1,0.5,4,25,0,0,1,0,0,Eden Gardens
RE van der Merwe,2010-2012,2,1,0,1,1,1,2,50,0,0,0,0,0,Eden Gardens
Washington Sundar,2017-2025,4,2,2,1,1*,-,3,33.33,0,0,0,0,0,Eden Gardens
LB Williams,2024-2024,1,1,1,1,1*,-,2,50,0,0,0,0,0,Eden Gardens
Avesh Khan,2022-2025,3,1,1,0,0*,-,0,-,0,0,0,0,0,Eden Gardens
S Badree,2017-2017,1,1,0,0,0,0,3,0,0,0,1,0,0,Eden Gardens
Yuzvendra Chahal,2013-2025,11,1,0,0,0,0,2,0,0,0,1,0,0,Eden Gardens
UBT Chand,2013-2013,1,1,0,0,0,0,1,0,0,0,1,0,0,Eden Gardens
Tim David,2024-2025,2,1,0,0,0,0,3,0,0,0,1,0,0,Eden Gardens
JL Denly,2019-2019,1,1,0,0,0,0,1,0,0,0,1,0,0,Eden Gardens
Kamran Khan,2010-2010,1,1,1,0,0*,-,0,-,0,0,0,0,0,Eden Gardens
VVS Laxman,2008-2008,1,1,0,0,0,0,6,0,0,0,1,0,0,Eden Gardens
GD McGrath,2008-2008,1,1,1,0,0*,-,0,-,0,0,0,0,0,Eden Gardens
R McLaren,2010-2010,1,1,1,0,0*,-,2,0,0,0,0,0,0,Eden Gardens
SL Malinga,2011-2019,8,1,0,0,0,0,2,0,0,0,1,0,0,Eden Gardens
AD Mascarenhas,2012-2012,1,1,0,0,0,0,1,0,0,0,1,0,0,Eden Gardens
Mohammed Siraj,2019-2025,5,1,1,0,0*,-,0,-,0,0,0,0,0,Eden Gardens
M Morkel,2012-2016,10,1,1,0,0*,-,0,-,0,0,0,0,0,Eden Gardens
AM Nayar,2008-2011,2,1,0,0,0,0,2,0,0,0,1,0,0,Eden Gardens
Parvez Rasool,2014-2014,1,1,1,0,0*,-,0,-,0,0,0,0,0,Eden Gardens
PBB Rajapaksa,2023-2023,1,1,0,0,0,0,3,0,0,0,1,0,0,Eden Gardens
PJ Sangwan,2008-2010,2,1,0,0,0,0,1,0,0,0,1,0,0,Eden Gardens
Simarjeet Singh,2025-2025,1,1,0,0,0,0,1,0,0,0,1,0,0,Eden Gardens
A Singh,2011-2012,2,1,0,0,0,0,2,0,0,0,1,0,0,Eden Gardens
Swapnil Singh,2016-2016,1,1,0,0,0,0,1,0,0,0,1,0,0,Eden Gardens
SW Tait,2011-2011,1,1,0,0,0,0,1,0,0,0,1,0,0,Eden Gardens
WPUJC Vaas,2008-2008,1,1,0,0,0,0,1,0,0,0,1,0,0,Eden Gardens
Varun Chakaravarthy,2019-2025,20,1,1,0,0*,-,3,0,0,0,0,0,0,Eden Gardens
S Ladda,2013-2013,1,-,-,-,-,-,-,-,-,-,-,-,-,Eden Gardens
Khaleel Ahmed,2018-2024,2,-,-,-,-,-,-,-,-,-,-,-,-,Eden Gardens
Akash Singh,2023-2023,1,-,-,-,-,-,-,-,-,-,-,-,-,Eden Gardens
KP Appanna,2012-2012,1,-,-,-,-,-,-,-,-,-,-,-,-,Eden Gardens
Arshdeep Singh,2023-2025,3,-,-,-,-,-,-,-,-,-,-,-,-,Eden Gardens
M Ashwin,2016-2016,1,-,-,-,-,-,-,-,-,-,-,-,-,Eden Gardens
KM Asif,2018-2023,2,-,-,-,-,-,-,-,-,-,-,-,-,Eden Gardens
P Awana,2014-2014,1,-,-,-,-,-,-,-,-,-,-,-,-,Eden Gardens
Azmatullah Omarzai,2025-2025,1,-,-,-,-,-,-,-,-,-,-,-,-,Eden Gardens
Basil Thampi,2017-2017,1,-,-,-,-,-,-,-,-,-,-,-,-,Eden Gardens
DE Bollinger,2011-2011,1,-,-,-,-,-,-,-,-,-,-,-,-,Eden Gardens
RS Bopara,2010-2010,1,-,-,-,-,-,-,-,-,-,-,-,-,Eden Gardens
JJ Bumrah,2015-2024,5,-,-,-,-,-,-,-,-,-,-,-,-,Eden Gardens
KC Cariappa,2015-2015,1,-,-,-,-,-,-,-,-,-,-,-,-,Eden Gardens
DL Chahar,2019-2019,1,-,-,-,-,-,-,-,-,-,-,-,-,Eden Gardens
AA Chavan,2012-2013,2,-,-,-,-,-,-,-,-,-,-,-,-,Eden Gardens
M de Lange,2012-2012,3,-,-,-,-,-,-,-,-,-,-,-,-,Eden Gardens
TU Deshpande,2023-2023,1,-,-,-,-,-,-,-,-,-,-,-,-,Eden Gardens
AB Dinda,2008-2016,13,-,-,-,-,-,-,-,-,-,-,-,-,Eden Gardens
NT Ellis,2023-2023,1,-,-,-,-,-,-,-,-,-,-,-,-,Eden Gardens
CRD Fernando,2008-2010,2,-,-,-,-,-,-,-,-,-,-,-,-,Eden Gardens
MS Gony,2008-2010,2,-,-,-,-,-,-,-,-,-,-,-,-,Eden Gardens
HF Gurney,2019-2019,3,-,-,-,-,-,-,-,-,-,-,-,-,Eden Gardens
RJ Harris,2011-2011,1,-,-,-,-,-,-,-,-,-,-,-,-,Eden Gardens
PW Hasaranga,2022-2022,1,-,-,-,-,-,-,-,-,-,-,-,-,Eden Gardens
JW Hastings,2016-2016,2,-,-,-,-,-,-,-,-,-,-,-,-,Eden Gardens
JR Hazlewood,2022-2025,2,-,-,-,-,-,-,-,-,-,-,-,-,Eden Gardens
BE Hendricks,2015-2015,1,-,-,-,-,-,-,-,-,-,-,-,-,Eden Gardens
BW Hilfenhaus,2012-2014,2,-,-,-,-,-,-,-,-,-,-,-,-,Eden Gardens
Imran Tahir,2015-2019,3,-,-,-,-,-,-,-,-,-,-,-,-,Eden Gardens
SB Jakati,2011-2012,2,-,-,-,-,-,-,-,-,-,-,-,-,Eden Gardens
Jaskaran Singh,2010-2010,1,-,-,-,-,-,-,-,-,-,-,-,-,Eden Gardens
CJ Jordan,2016-2016,1,-,-,-,-,-,-,-,-,-,-,-,-,Eden Gardens
AS Joseph,2022-2022,1,-,-,-,-,-,-,-,-,-,-,-,-,Eden Gardens
S Joseph,2024-2024,1,-,-,-,-,-,-,-,-,-,-,-,-,Eden Gardens
S Randiv,2011-2011,1,-,-,-,-,-,-,-,-,-,-,-,-,Eden Gardens
S Kaul,2018-2019,3,-,-,-,-,-,-,-,-,-,-,-,-,Eden Gardens
S Kaushik,2016-2016,1,-,-,-,-,-,-,-,-,-,-,-,-,Eden Gardens
JM Kemp,2010-2010,1,-,-,-,-,-,-,-,-,-,-,-,-,Eden Gardens
K Khejroliya,2018-2023,2,-,-,-,-,-,-,-,-,-,-,-,-,Eden Gardens
DS Kulkarni,2008-2017,3,-,-,-,-,-,-,-,-,-,-,-,-,Eden Gardens
A Kumble,2008-2010,2,-,-,-,-,-,-,-,-,-,-,-,-,Eden Gardens
CK Langeveldt,2010-2010,1,-,-,-,-,-,-,-,-,-,-,-,-,Eden Gardens
B Laughlin,2018-2018,1,-,-,-,-,-,-,-,-,-,-,-,-,Eden Gardens
JB Little,2023-2023,1,-,-,-,-,-,-,-,-,-,-,-,-,Eden Gardens
OC McCoy,2022-2022,1,-,-,-,-,-,-,-,-,-,-,-,-,Eden Gardens
VS Malik,2013-2013,1,-,-,-,-,-,-,-,-,-,-,-,-,Eden Gardens
A Manohar,2023-2023,1,-,-,-,-,-,-,-,-,-,-,-,-,Eden Gardens
M Markande,2018-2024,3,-,-,-,-,-,-,-,-,-,-,-,-,Eden Gardens
BAW Mendis,2008-2010,2,-,-,-,-,-,-,-,-,-,-,-,-,Eden Gardens
Mohsin Khan,2022-2024,3,-,-,-,-,-,-,-,-,-,-,-,-,Eden Gardens
Mujeeb Ur Rahman,2018-2018,1,-,-,-,-,-,-,-,-,-,-,-,-,Eden Gardens
M Muralidaran,2008-2014,4,-,-,-,-,-,-,-,-,-,-,-,-,Eden Gardens
AG Murtaza,2010-2010,1,-,-,-,-,-,-,-,-,-,-,-,-,Eden Gardens
Mustafizur Rahman,2016-2016,1,-,-,-,-,-,-,-,-,-,-,-,-,Eden Gardens
Y Nagar,2012-2012,1,-,-,-,-,-,-,-,-,-,-,-,-,Eden Gardens
S Narwal,2013-2013,1,-,-,-,-,-,-,-,-,-,-,-,-,Eden Gardens
T Natarajan,2023-2024,2,-,-,-,-,-,-,-,-,-,-,-,-,Eden Gardens
L Ngidi,2018-2018,1,-,-,-,-,-,-,-,-,-,-,-,-,Eden Gardens
Noor Ahmad,2023-2023,1,-,-,-,-,-,-,-,-,-,-,-,-,Eden Gardens
M Ntini,2008-2008,1,-,-,-,-,-,-,-,-,-,-,-,-,Eden Gardens
IC Pandey,2014-2014,1,-,-,-,-,-,-,-,-,-,-,-,-,Eden Gardens
MB Parmar,2010-2010,1,-,-,-,-,-,-,-,-,-,-,-,-,Eden Gardens
MM Patel,2008-2012,2,-,-,-,-,-,-,-,-,-,-,-,-,Eden Gardens
AUK Pathan,2011-2011,1,-,-,-,-,-,-,-,-,-,-,-,-,Eden Gardens
M Pathirana,2023-2023,1,-,-,-,-,-,-,-,-,-,-,-,-,Eden Gardens
KMA Paul,2019-2019,1,-,-,-,-,-,-,-,-,-,-,-,-,Eden Gardens
SM Pollock,2008-2008,1,-,-,-,-,-,-,-,-,-,-,-,-,Eden Gardens
RW Price,2011-2011,1,-,-,-,-,-,-,-,-,-,-,-,-,Eden Gardens
Y Prithvi Raj,2019-2019,1,-,-,-,-,-,-,-,-,-,-,-,-,Eden Gardens
K Rabada,2017-2024,3,-,-,-,-,-,-,-,-,-,-,-,-,Eden Gardens
AS Rajpoot,2016-2018,5,-,-,-,-,-,-,-,-,-,-,-,-,Eden Gardens
DS Rathi,2025-2025,1,-,-,-,-,-,-,-,-,-,-,-,-,Eden Gardens
M Rawat,2008-2008,1,-,-,-,-,-,-,-,-,-,-,-,-,Eden Gardens
KAJ Roach,2010-2010,1,-,-,-,-,-,-,-,-,-,-,-,-,Eden Gardens
JE Root,2023-2023,1,-,-,-,-,-,-,-,-,-,-,-,-,Eden Gardens
SE Rutherford,2025-2025,1,-,-,-,-,-,-,-,-,-,-,-,-,Eden Gardens
Sachin Baby,2016-2016,1,-,-,-,-,-,-,-,-,-,-,-,-,Eden Gardens
NA Saini,2019-2019,1,-,-,-,-,-,-,-,-,-,-,-,-,Eden Gardens
R Sai Kishore,2022-2025,2,-,-,-,-,-,-,-,-,-,-,-,-,Eden Gardens
C Sakariya,2025-2025,1,-,-,-,-,-,-,-,-,-,-,-,-,Eden Gardens
S Sandeep Warrier,2019-2019,1,-,-,-,-,-,-,-,-,-,-,-,-,Eden Gardens
