,,,,,,,,,venue Chennai,,,,,
Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
Q de Kock,2013-2025,9,9,0,97,40,10.77,97,100,0,0,1,9,4
"(Kolkata Knight Riders, Lucknow Super Giants, Mumbai Indians, Sunrisers Hyderabad)",,,,,,,,,,,,,,
R Ashwin,2010-2025,47,14,5,95,30,10.55,90,105.55,0,0,2,8,2
"(Chennai Super Kings, Delhi Capitals, Kings XI Punjab, Rajasthan Royals)",,,,,,,,,,,,,,
SP Narine,2012-2025,9,5,0,95,44,19,49,193.87,0,0,0,5,10
(Kolkata Knight Riders),,,,,,,,,,,,,,
MM Ali,2019-2025,14,10,2,93,19,11.62,83,112.04,0,0,0,7,3
"(Chennai Super Kings, Kolkata Knight Riders, Royal Challengers Bangalore)",,,,,,,,,,,,,,
DJ Hooda,2015-2025,12,10,1,93,22,10.33,91,102.19,0,0,1,7,3
"(Chennai Super Kings, Lucknow Super Giants, Punjab Kings, Rajasthan Royals, Sunrisers Hyderabad)",,,,,,,,,,,,,,
AC Gilchrist,2008-2010,2,2,0,92,54,46,53,173.58,0,1,0,11,5
(Deccan Chargers),,,,,,,,,,,,,,
N Wadhera,2023-2025,3,3,0,92,64,30.66,66,139.39,0,1,0,11,3
"(Mumbai Indians, Punjab Kings)",,,,,,,,,,,,,,
GC Smith,2008-2008,1,1,0,91,91,91,51,178.43,0,1,0,9,4
(Rajasthan Royals),,,,,,,,,,,,,,
DC Jurel,2023-2024,3,3,1,88,56*,44,59,149.15,0,1,0,8,4
(Rajasthan Royals),,,,,,,,,,,,,,
Yuvraj Singh,2008-2015,4,4,0,88,43,22,82,107.31,0,0,0,7,2
"(Delhi Daredevils, Kings XI Punjab, Pune Warriors)",,,,,,,,,,,,,,
SS Tiwary,2010-2012,5,5,2,86,42*,28.66,83,103.61,0,0,0,3,3
"(Mumbai Indians, Royal Challengers Bangalore)",,,,,,,,,,,,,,
V Sehwag,2008-2015,6,6,0,81,71,13.5,57,142.1,0,1,1,8,4
"(Delhi Daredevils, Kings XI Punjab)",,,,,,,,,,,,,,
SP Fleming,2008-2008,5,5,0,80,45,16,77,103.89,0,0,0,7,3
(Chennai Super Kings),,,,,,,,,,,,,,
RK Singh,2018-2025,5,4,1,80,54,26.66,73,109.58,0,1,0,5,4
(Kolkata Knight Riders),,,,,,,,,,,,,,
JC Buttler,2019-2024,3,3,0,79,52,26.33,68,116.17,0,1,0,4,3
(Rajasthan Royals),,,,,,,,,,,,,,
KM Jadhav,2011-2021,12,9,4,78,20,15.6,85,91.76,0,0,0,7,1
"(Chennai Super Kings, Delhi Daredevils, Kochi Tuskers Kerala, Sunrisers Hyderabad)",,,,,,,,,,,,,,
RR Rossouw,2023-2024,2,2,0,78,43,39,60,130,0,0,0,7,3
"(Delhi Capitals, Punjab Kings)",,,,,,,,,,,,,,
YBK Jaiswal,2023-2024,3,3,0,76,42,25.33,50,152,0,0,0,9,4
(Rajasthan Royals),,,,,,,,,,,,,,
EJG Morgan,2011-2021,5,5,1,76,32*,19,61,124.59,0,0,0,5,4
(Kolkata Knight Riders),,,,,,,,,,,,,,
LR Shukla,2008-2012,5,5,1,76,42,19,59,128.81,0,0,0,6,3
(Kolkata Knight Riders),,,,,,,,,,,,,,
MK Tiwary,2010-2012,4,4,1,76,27,25.33,62,122.58,0,0,0,6,2
(Kolkata Knight Riders),,,,,,,,,,,,,,
